recordid,lat,lon,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
094b42e1b8148cee95a1a3cbbf87d6f6666ca781,-77.99550239,35.33360701,"north carolina",35.333607,-77.995502,0.28,nearest_place,,,Airboro,NC,"Wayne County",27530,US,"TIGER/Line® dataset from the US Census Bureau"
53b96cf02be9ef07bd194ab22d040a89608a76c1,-78.40570257,36.3151872,"north carolina",36.315439,-78.405493,1,rooftop,60FT,"Alexander Ave.",Henderson,NC,"Vance County",27536,US,"NC Geographic Information Coordinating Council"
116885a34c5b6ecf4c8e9398b75a2000fe46457d,-81.22950337,35.52469693,"north carolina",35.524546,-81.229374,1,rooftop,2437,"Kershaw Trl",Lincolnton,NC,"Lincoln County",28092,US,"NC Geographic Information Coordinating Council"
a6d44c3be322b633d39b72589ba9c3d4eb60aa78,-78.70800256,34.33149676,"north carolina",34.331635,-78.708273,1,rooftop,251,"N Jk Powell Blvd",Whiteville,NC,"Columbus County",28472,US,Columbus
d6b74ffe417531ab13b0d25ca51f06cb1abbb84b,-77.8694023,34.23473677,"north carolina",34.234662,-77.869809,1,rooftop,416,"Racine Dr",Wilmington,NC,"New Hanover County",28403,US,"New Hanover"
56bd616119bc24d507763e2372ce8aa9a1fd67ec,-79.1307027,34.70619683,"north carolina",34.705645,-79.130441,1,rooftop,3171,"Evergreen Church Rd",Pembroke,NC,"Robeson County",28372,US,"NC Geographic Information Coordinating Council"
e4d7fb97f095877626468c3f6f71307dd06e45ae,-79.7540029,34.91275685,"north carolina",34.912715,-79.754154,1,rooftop,504,"Mill Rd",Rockingham,NC,"Richmond County",28379,US,"NC Geographic Information Coordinating Council"
872e42fce528da34ec8cfdc6b5bf9411443c57dc,-78.63510261,35.77599708,"north carolina",35.775891,-78.635355,1,rooftop,225,"E Davie St",Raleigh,NC,"Wake County",27601,US,"NC Geographic Information Coordinating Council"
4bdae48d5b60512c6a8a56c0104bc0f6f2f3e912,-78.70190255,34.34860677,"north carolina",34.34849,-78.701759,1,rooftop,1518,"Pinckney St",Whiteville,NC,"Columbus County",28472,US,Columbus
0fb0ae66081da682cf67186a743e2d8900c23fc9,-77.05550209,35.11496699,"north carolina",35.114953,-77.055378,1,rooftop,1314,"Main St","New Bern",NC,"Craven County",28560,US,Craven
81d7feeb3923cf23ebf4db6456538b2b16c1b774,-77.8694023,34.23476677,"north carolina",34.234662,-77.869809,1,rooftop,416,"Racine Dr",Wilmington,NC,"New Hanover County",28403,US,"New Hanover"
62536894c457c59c0b553aa7bdfa85c5438a7a0a,-82.56150377,35.5988769,"north carolina",35.598842,-82.561241,1,rooftop,89,"Montford Ave",Asheville,NC,"Buncombe County",28801,US,"NC Geographic Information Coordinating Council"
c7b58e92325a39cd908c7f92de376da27dbf9f72,-81.09040332,35.3533669,"north carolina",35.352951,-81.09054,1,rooftop,506,"27 S",Stanley,NC,"Gaston County",28164,US,"NC Geographic Information Coordinating Council"
74016f0eca7a8cb1b75381bbb468e61c901150b9,-77.92710232,34.23201677,"north carolina",34.231875,-77.927268,1,rooftop,402,"17th St S",Wilmington,NC,"New Hanover County",28401,US,"NC Geographic Information Coordinating Council"
848b00c5219c443b6f78732dd7f09550795f7284,-79.81720298,36.0957971,"north carolina",36.0955,-79.817248,1,rooftop,1601,"Westover Ter",Greensboro,NC,"Guilford County",27408,US,"City of Greensboro"
ac5f88173d3219f921353a0694873b930ad606bb,-78.3200025,35.51759703,"north carolina",35.518223,-78.320091,1,rooftop,1109,"N Brightleaf Blvd",Smithfield,NC,"Johnston County",27577,US,Johnston
3d13b6653677b62c84c2199bc273e70a255f73a6,-81.66950354,36.19885706,"north carolina",36.199278,-81.6692,1,rooftop,579,"Greenway Rd",Boone,NC,"Watauga County",28607,US,Watauga
adb41b69800caace330b5f2c29e2ff4ed7952a2c,-80.80800325,35.59634696,"north carolina",35.596318,-80.808221,1,rooftop,636,"N Broad St",Mooresville,NC,"Iredell County",28115,US,Iredell
8f9b46909d90f65f92b2208c6547487c8827b4c0,-83.67010408,35.28513679,"north carolina",35.284988,-83.66978,1,rooftop,19661,"Hwy 19 W",Topton,NC,"Swain County",28781,US,Swain
8682c6f1e60386e1be9e894c2944eda913e60e7e,-78.73790265,35.91966711,"north carolina",35.920058,-78.737881,1,rooftop,11404,"Leesville Rd",Raleigh,NC,"Wake County",27613,US,Wake
c22c39e3146270e1043693be285e4e048ebd317b,-78.69120262,35.76905708,"north carolina",35.768461,-78.691472,1,rooftop,900,"Trailwood Dr",Raleigh,NC,"Wake County",27606,US,"NC Geographic Information Coordinating Council"
e83ba53f2be1ce3790636a8030c9bb5ac96f89ae,-78.56770256,35.32498698,"north carolina",35.324887,-78.567393,1,rooftop,590,"George Perry Lee Rd",Dunn,NC,"Harnett County",28334,US,"NC Geographic Information Coordinating Council"
f567f674d8eae75b7d001ce772896119ccec9337,-78.35630251,35.49447703,"north carolina",35.494339,-78.355987,1,rooftop,1219,"S Brightleaf Blvd",Smithfield,NC,"Johnston County",27577,US,Johnston
c1bb005550baf37fb758cd6deadf26ae08287a5c,-78.8876027,35.99355712,"north carolina",35.993651,-78.887559,1,rooftop,801,"N Elm St",Durham,NC,"Durham County",27701,US,Durham
a1eabd422ea70e41849f80d47de7ca1daa29bb32,-78.67320262,35.78888708,"north carolina",35.789228,-78.673494,1,rooftop,2802,"Hillsborough St",Raleigh,NC,"Wake County",27607,US,Wake
e90478c209908ca6fde6c4ebe978cbc13e3dc8d3,-79.10490268,34.49784679,"north carolina",34.497962,-79.104916,1,rooftop,421,"Happy Hill Rd",Fairmont,NC,"Robeson County",28340,US,"NC Geographic Information Coordinating Council"
96285ec38b076bbc9dd9fdca4756c070e1f37de3,-78.64180261,35.78830708,"north carolina",35.788669,-78.641937,1,rooftop,200,"W Peace St",Raleigh,NC,"Wake County",27603,US,"NC Geographic Information Coordinating Council"
