recordid,latitude,longitude,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
e21d67b3d3b5727b3850270ffca7ad95800ac779,-81.32010339,35.33229689,"north carolina",35.332086,-81.320462,1,rooftop,2315,"Tryon Courthouse Rd","Bessemer City",NC,"Gaston County",28016,US,"NC Geographic Information Coordinating Council"
5a9fd8f3ff8ace08f0be6eb57d4c180dd3dfd3c8,-80.80210323,35.21946688,"north carolina",35.219333,-80.802381,1,rooftop,2308,"Central Ave",Charlotte,NC,"Mecklenburg County",28205,US,"NC Geographic Information Coordinating Council"
1832e0f741928ebc14e8eae981d60a0e5bdaa978,-79.81550296,35.70556702,"north carolina",35.705572,-79.815299,1,rooftop,135,"Sunset Ave",Asheboro,NC,"Randolph County",27203,US,"NC Geographic Information Coordinating Council"
aa0fbe0f4bb46f7ae6264d3dcadac3c43e73b023,-77.8792023,34.23129677,"north carolina",34.231073,-77.879035,1,rooftop,5006,"Randall Pkwy",Wilmington,NC,"New Hanover County",28403,US,"NC Geographic Information Coordinating Council"
a78246fa48d6c71c72af05830219bd13ceb577aa,-78.69890261,35.37403699,"north carolina",35.37352,-78.699076,1,rooftop,2489,"Crawford Rd",Dunn,NC,"Harnett County",28334,US,"NC Geographic Information Coordinating Council"
64ae9caa1e3da5a078ad8de926b2b77dae372db9,-77.78960236,35.92692714,"north carolina",35.927081,-77.789972,1,rooftop,1134,"Cypress St","Rocky Mount",NC,"Edgecombe County",27801,US,Edgecombe
064b5c2d200a97695ed5757030bda1fae66774c2,-78.50500247,33.89194667,"north carolina",33.892028,-78.505313,1,rooftop,622,"Jasmine Ln","Sunset Beach",NC,"Brunswick County",28468,US,Brunswick
358c970375658d5f8e401c22e8d0982b2fd99eba,-77.91530238,35.66792708,"north carolina",35.668287,-77.91527,1,rooftop,4170,"Black Creek Rd S",Wilson,NC,"Wilson County",27893,US,Wilson
31639e974737bc8d4b42f703843330db0200408e,-77.65700229,35.43974704,"north carolina",35.43937,-77.657039,1,rooftop,1201,"Kingold Blvd","Snow Hill",NC,"Greene County",28580,US,"NC Geographic Information Coordinating Council"
4fe158b311c3199177f833ea2b39852e9c3bbb9d,-80.67880318,35.06807685,"north carolina",35.068124,-80.678149,1,rooftop,4303,"Monroe Rd","Indian Trail",NC,"Union County",28079,US,"NC Geographic Information Coordinating Council"
0b6d8fccb40682d5b653f6e8b46c6dabb7ab2f9b,-78.87060269,35.99065712,"north carolina",35.990802,-78.870346,1,rooftop,1831,"Liberty St",Durham,NC,"Durham County",27703,US,Durham
33c0c8a87913298b958a7a08b33be8b57758239e,-81.33470339,35.25230687,"north carolina",35.252465,-81.334609,1,rooftop,319,"Linwood Rd","Kings Mountain",NC,"Cleveland County",28086,US,"NC Geographic Information Coordinating Council"
9edb4ba2e6b83bf28b6aeea707ef4ab20cb2f1df,-77.94610238,35.39027702,"north carolina",35.391193,-77.946123,0.99,rooftop,1201,"Cuyler Best Rd",Goldsboro,NC,"Wayne County",27534,US,Wayne
e27ddc44da7d2ccd00246105c972a0e93aa65593,-81.12950333,35.26012688,"north carolina",35.260458,-81.129768,1,rooftop,2810,"E Franklin Blvd",Gastonia,NC,"Gaston County",28056,US,Gaston
9aa17db778358637d33d0d9b65be77f7ae251696,-75.69330172,36.06598724,"north carolina",36.065792,-75.69386,1,rooftop,3864,"N Croatan Hwy","Kitty Hawk",NC,"Dare County",27949,US,"NC Geographic Information Coordinating Council"
12f4a06052eb4944f0a4232c905c08a4da6d5743,-77.89680231,34.24334677,"north carolina",34.243138,-77.897029,1,rooftop,3934,"Princess Place Dr",Wilmington,NC,"New Hanover County",28403,US,"NC Geographic Information Coordinating Council"
d7d7e4297ee1c5b0199312ef44e28b263a5a948f,-81.20850335,35.26056688,"north carolina",35.260814,-81.208331,1,rooftop,1430,"W Franklin Blvd",Gastonia,NC,"Gaston County",28052,US,"NC Geographic Information Coordinating Council"
23bc8e1c4640a6d7401a9ffbf008f87fa696ee3e,-82.53290376,35.44607687,"north carolina",35.445952,-82.532567,1,rooftop,421,"Airport Rd",Arden,NC,"Buncombe County",28704,US,"NC Geographic Information Coordinating Council"
1156d17931a2d65356c13f3494c749adf5c52ca8,-77.37060221,35.58581708,"north carolina",35.586205,-77.370697,1,rooftop,701,"SE Greenville Bv",Greenville,NC,"Pitt County",27858,US,Pitt
6ddd7c840364ac80f1a417fd0754744c566a9e20,-78.40220257,36.33259721,"north carolina",36.33274,-78.401969,1,rooftop,266,"W Andrews Ave",Henderson,NC,"Vance County",27536,US,Vance
2003cdf3c7a45b5f4be32d5b870f0fd8ed1e6091,-77.7785023,34.92466692,"north carolina",34.924364,-77.77849,1,rooftop,507,"W Main St",Beulaville,NC,"Duplin County",28518,US,"NC Geographic Information Coordinating Council"
44edb6fe2df2fd1175832bf64c45df0b7fa32817,-79.79600292,35.10957689,"north carolina",35.11019,-79.796814,0.99,rooftop,636,"W 73 Hwy",Ellerbe,NC,"Richmond County",28338,US,"NC Geographic Information Coordinating Council"
c2f1a90cd20be4e6fe7b760d3bfb8f2a2768d5ba,-76.29310192,36.37094729,"north carolina",36.370867,-76.293348,1,rooftop,1183,"Northside Rd","Elizabeth City",NC,"Pasquotank County",27909,US,Pasquotank
8b4e3f240406062d86b48d6fc6b82780b553bb75,-78.77400265,35.76696707,"north carolina",35.766615,-78.774038,1,rooftop,1201,"Hampton Valley Rd",Cary,NC,"Wake County",27511,US,Wake
