recordid,latitude,longitude,state
08b9d031309660bbd34b0e8b85d133df1dc7c62c,-78.68690262,35.78495708,north carolina
12efbefa029bb17b03700b85ea69625a43d23fdf,-78.66275262,35.78603708,north carolina
f34a30e6e88607cbf6686a265529ce8e070d5d14,-78.57991259,35.8448441,north carolina
6080fca454dfe5805be00ea776c547e728dabb5c,-79.79370297,36.0647231,north carolina
e321a894bb35f28cf5e12f317985dd489d3c26ca,-77.79626736,35.94462114,north carolina
6db57ee461ce74c92d95b4671ed6035a85923903,-79.00976872,35.78640707,north carolina
242c9141df99407adf9a8e215260048b56934c21,-78.69808264,36.04600713,north carolina
5b18a9e79171165d4c39c879b0645299452a1b89,-76.2234419,36.28155727,north carolina
3d02b092632ef2d4da48e54e60c1d329794d0709,-78.98819266,34.62893982,north carolina
f36fb83f1666feee06d3f0365508e7203ccb8d14,-79.09035275,35.92396509,north carolina
d14ea988702993cc2d2e5541bb892c04c978443e,-78.01032236,34.69568987,north carolina
4adc04f153c815b1da5169aaee9c177585ea0c61,-80.88080924,35.07050685,north carolina
acca18c0bbcc6aca4853bc613f36a456b8201e95,-77.91190239,35.72376209,north carolina
5734c05b297a40d5d88ab5dc612d6eba00c771b3,-80.89748726,35.24589488,north carolina
8bcb9b430e80ee13da252def17d4ba0938e1da46,-80.87923725,35.13771686,north carolina
a0db26cd56d8e92e58327f16d5f5a3170d1e40fa,-80.73841321,35.19995688,north carolina
56b2d8831363dae35205ed2731f2b1eaebb53d1c,-80.75871322,35.24066489,north carolina
aed7b1600233b75cda84db6d88eb86ab164951cf,-80.74691321,35.18587388,north carolina
2bcce3e5cabbccd9afcc2c105ba773b7e495bd7e,-80.84300324,35.20066688,north carolina
cacad073eafacee5c6f7947413ddf1f79029c578,-80.90493326,35.21068688,north carolina
cdb6098b21ec18f51de14f7b2ad0bd2bf5df2ec3,-80.74819321,35.15543687,north carolina
5ed213f735a7b8ed686a4a32e2c399ec1cd0ca07,-80.90468326,35.21431688,north carolina
63f3e44cbc3890ce5b8ad6785951eee9e743d716,-80.78172322,35.24943489,north carolina
197d0d412ed2609afa8d6a134d59358175761c6f,-81.50906348,35.919927,north carolina
af35b85eeae10d530a2671043e97a9c181dc7bd4,-80.80205823,35.25989089,north carolina
a8eb401204fb91ba4cd888a0702e9fb1fa2cb8fe,-77.56016725,35.259639,north carolina
f937d982e7c9f599b8d9d529694207b9db2372a2,-80.81235823,35.19940488,north carolina
c7bd46e99ca8ce4a416de5cbf6cd3ff5713786a8,-80.75725922,35.21007088,north carolina
dff5201ec9a820df9fd48659e5a9960e294a67a8,-77.88737239,35.96971115,north carolina
c27adcafb00ef161c97b1a6bef6907d4cf875a37,-78.97001268,35.25032695,north carolina
571717783d6b2f59f391ea5c0c0f02b74d3efaf7,-76.24569191,36.31284728,north carolina
19ce0933ae31f582d510dac2c7bd02d45a1f7a0b,-80.78762323,35.36551991,north carolina
8cd414f935b10fe6ed948dc656cfeed755588cc7,-79.82491296,35.64558301,north carolina
61f75281e5e5a0a731500933818269878df2e659,-78.64957661,35.78854708,north carolina
1d07b8ff62cfd3fa4e460176671664aa9b62086a,-79.75170296,36.0852071,north carolina
4a228f7e159d5c7c535038de84b54d385e78778f,-80.01294306,36.41319216,north carolina
dba765628d5aba3abecdcb5b61c40a377beb632b,-80.62423319,35.47914394,north carolina
8eddde00a5f56c235e4cbe372c3f00c7bca652f1,-77.93616232,34.19481176,north carolina
e375fa073f1c51dc6f2d1fed323364a3789a1c30,-77.98521239,35.40169102,north carolina
413a4109a5b2d1f678b09a835c9f6f330f1b1ea9,-80.87900325,35.25367689,north carolina
717b23338f7f8932f63481a32e80a38f196b3094,-80.89023325,35.20059887,north carolina
d8a09cf94a292e568c11077fd574c22b50c9fda1,-80.85403325,35.26682689,north carolina
a3fc292e9deeb8b09fff8940c24e7e916a522e81,-81.3612474,35.30456688,north carolina
17cc110c1fa0a420ac674a20c01aef7af06c5d0f,-78.92364265,35.0040429,north carolina
603ff5d5bc0f52cfaede97cbf21e4beba7657f7d,-82.52477376,35.50566688,north carolina
d9a7328b49137be2762f6e2ee1900f1fc1f437b4,-77.9542524,35.73806309,north carolina
bada6c26cf8659d665039c1a54d0cd1e37c656d4,-79.07794275,35.91232209,north carolina
111b854e04a3f31223be58c75124adcb9826ba05,-77.79435227,34.21009377,north carolina
abbaf55d7687feb8502563b75f99d28f9a2c6b17,-79.06444274,35.89159709,north carolina
50472ebfa556fd5bfd45a21cc517f20b893ec04e,-79.7646729,34.90785185,north carolina
bd5e9171a531c42c1995278a205283082542e7d9,-76.78649201,35.143962,north carolina
ce9b46693ffe235e5da90baad700f92c15bc0d18,-79.78707297,36.0700831,north carolina
556e07903eceb99887155d816f93dd2d3b061dc7,-77.95361239,35.67782908,north carolina
e225652517c804d85e9484a7971c0461edd2883e,-77.91517231,34.23839677,north carolina
777d5b85de334b43b2bffabe3918eed19c57d344,-78.69122262,35.76904208,north carolina
b928488fe7c10323ec57301f00c84e1707c9ea59,-77.0117921,35.53577408,north carolina
5608f16acd5264c14299293a3c96f1a63b5e6c18,-78.98878273,35.98896311,north carolina
1e6ccbc68b3dca1f1f47367004cae0bbd2a3dbb7,-77.57572226,35.27093401,north carolina
ef40d12c8abf26929fe045907e3fa2c4cb3aff90,-78.16622245,35.49984704,north carolina
b4cee96a96cbdba4b3139786b1dd580bb6b60aa0,-79.91081301,36.12355411,north carolina
e5c2f104878705bfb862100897411671dd6225f1,-82.70041379,35.27260682,north carolina
2cede102544bbd0e9a01767a3b7b24c7696201f8,-80.95737327,35.11724385,north carolina
780a0beaf89626d0b36d3f1df1ee6e22fc1185c1,-78.66643762,35.77937708,north carolina
e0c3ae7bc8c8b40223193ef2f7e8aa54b903ca44,-79.01125273,35.9326741,north carolina
861952cbf0530e5de8a289117ae473bb79fc5eee,-82.50133874,35.32354684,north carolina
ad9028c9fdaf8172b3f450857fdc7ab855853a51,-75.6509877,35.84190719,north carolina
b5479d9a8f450019e80e8c317a319286cb275324,-80.72352321,35.20212688,north carolina
d6f121b563a298797baeeb8f94e66c12fb8b12c4,-78.97665267,35.04427691,north carolina
b7c9dd7414dc19f2a6a9a6c2d1136ed51e166f1f,-78.59736262,36.30364219,north carolina
18b949ced9ac8d607a3fbc2d6c263a38a686ace3,-78.69762664,35.98635712,north carolina
70a50d703a6145c06c0775daaf21da9cb3442ca0,-78.57355759,35.8559831,north carolina
edad9813cbc302229da44dfa8357be54800c2133,-77.83769229,34.24406377,north carolina
0c2e9113488dbd75f3b209e5b296b720f4b1897b,-78.68973262,35.78577008,north carolina
42cd70964bd650537252818c2e6c2abb4757467c,-79.99725303,35.95657307,north carolina
b1968667fb80ca32a324a5b28f98419378a8be0e,-80.86139325,35.25635489,north carolina
668e92c61a970d2211f0e2834efb19908ef67939,-81.12974333,35.25577488,north carolina
7529111087f93d9d23c7f11693d44e6f90d40f73,-79.81111298,36.0657231,north carolina
641461f04945dc9e48a93312e88e04ca6fff64a7,-79.20556273,34.81000485,north carolina
699412f37a77fbf06bc0290609f24f5c87f36481,-78.66141262,35.78578108,north carolina
10685288f2a345cc65a87b6afbc6b33ae79e93c3,-79.17474278,35.92786709,north carolina
bf4d4f1d79b3b8d2e2ef7ffac0e6e881ef6f6a55,-78.66326262,35.77805708,north carolina
4761f8889b89b22c75bb245e0ba3988ffcca7ea1,-78.67297262,35.77858708,north carolina
61cd5e35da727186c1b777bcc6016097418c365b,-82.55443377,35.6203339,north carolina
81525f7e42cd4db98178a14c619f727c1c119c3b,-78.90558265,35.04027691,north carolina
061445bcea64257ac877593bcd4ee1c061771ded,-77.57240226,35.263614,north carolina
1b8fa2eb191b8d335021d995a40ee199e5a4d092,-78.86022269,36.07681213,north carolina
1346053607f26d75760055d82a50f85acc226602,-81.0207333,35.28531689,north carolina
6cba09bd0eb01f2f87933f56efd6d0e0815ac7d9,-79.42050286,36.06610011,north carolina
f9b32b8caf448c8176737fc2653959137cc73eb2,-78.63219261,35.78227208,north carolina
91a727a64601dd28a044328929af690e62ca283e,-78.69593263,35.81558909,north carolina
52d91e3c242f2bf194c91c0e4b046e1c9f3e0a50,-78.70505763,35.81555708,north carolina
7630ad43f1363462441773d9b6efb2d797a5a806,-78.6145276,35.78001708,north carolina
047b7980e3e04e12707d65fbd751d817e5d63e45,-79.80262298,36.0742301,north carolina
0a393026262257d08480209425eaaef07243d4fb,-80.56274317,35.39026693,north carolina
5a418bec3747ff1d18b5665d170b0b7258ae43bf,-79.79634295,35.69041702,north carolina
75ee55e1c5b54529061b7954c33e6f0a62263661,-78.84964263,35.04178691,north carolina
161fc34e9f01dc479540512d4eb08b56949f7906,-77.05929812,35.55560209,north carolina
495765801e579e9ff4a081d2f823ded51854d29b,-77.81006237,35.97095415,north carolina
06bcfc98eafa912dbf3f4ca8f666adfeec262ba1,-79.3870628,35.19283193,north carolina
3ad1b5e0c6e8d351622c5dc86fc17e68be24b002,-80.83975324,35.18354387,north carolina
e19a6d3e1fc39f2ce790a10c1581ce5c972cfbd8,-78.67895762,35.83751709,north carolina
18fc34163dea2ee94f2f110ad6ecc1ba2a919343,-78.15233245,35.58711206,north carolina
f9385da96c1d9ff5316fa86262ab59696776fc38,-80.84202924,35.22799188,north carolina
710f05740ef080b3adcdc1268b6068cdca4d0816,-81.2714334,35.75199698,north carolina
5832ca4fa5b56703d29a3329b366ca80629c382a,-80.79235325,35.56938696,north carolina
f0116370bcfcfc6525f2dab2374f1b80cd61766b,-77.38095218,34.7536539,north carolina
12f0be75017e61f067b18faaf4dcb4f6b9e088e8,-78.55630259,35.8452571,north carolina
0b2b45c81caf313362c00a68be0596e9125a7ee0,-78.5809886,35.8540911,north carolina
61bb67244428082d824cc0998cda20b8a4e31c33,-80.83144325,35.49118394,north carolina
249be1c7eba15ca0c7e6ba48e30891d86417ffc5,-78.35120651,35.50502703,north carolina
6c4c6d700a8f46a121eee78a3aef81595090fd86,-78.35791251,35.49236203,north carolina
9b98f8255d509e92ae1ecc35887d17244042f60f,-80.43820316,36.01364706,north carolina
05e5e70177e22b398a5b67ef6f81e3bd1c9b7700,-79.02516267,34.71112684,north carolina
2699ca63f25b989e79a1acb514f029bc97ccce9f,-76.88812203,34.79282292,north carolina
5e1c9152c95f74d98d092e9939bf08dd1eea7b3f,-80.9464633,35.807957,north carolina
aef2efe75ee8913e22b73ebad5f9502badb79bd8,-80.89310326,35.24551288,north carolina
1c89c222ab16d7b759ff6ffb8cce74614f7079dc,-81.42572342,35.24672286,north carolina
cbecba441f9d1555a46ba8c9cb62d29c667b78f6,-78.9143127,36.01700912,north carolina
1ee628a5426bd0dd6ed7d8314fc972f453e58e3d,-78.66960262,35.75079707,north carolina
b8cbe7ccaccf902f9077d7b896680771298ca8f9,-80.24638309,35.699327,north carolina
eac9643f63ab13b0a68edc1a319ca40b6b4e6f4b,-76.91064204,34.88270494,north carolina
d1783700fff31a763bd671501d45cd635d1d930e,-81.19957335,35.27540688,north carolina
0de22ad17e6d03c00d63b643bb714c992e061cc6,-80.55748314,34.97457384,north carolina
b89ebfce2370f1541458e13b90dbaafac332b99c,-78.76778665,35.76709307,north carolina
c1524cdded5b0bf70f44bc417751af8c04706969,-77.92268239,35.73195709,north carolina
2474f9046b5c93932e0a80e7b04187f3ca87063c,-79.20692272,34.64234481,north carolina
506ef3ca469accf30560f517dc5741b8fb270f3a,-81.4739435,36.42050111,north carolina
e3b2437839f0bdfd99f381bfa59ead46ff2f034e,-80.89053325,35.18636687,north carolina
38e69376810699a321e8cb231f1469c75fae8535,-78.76549265,35.76779507,north carolina
7b98cdf217d954bde5a044016727432d2ca78cfd,-78.66699262,35.78753708,north carolina
30700adf538ef01f466ade230cb513939e6a7a88,-80.73419321,35.20265688,north carolina
4e5a0d658c4176630210870ccbf61d6ccc9f3959,-80.85026324,35.22181688,north carolina
12cf47ebe9c98b9c1a7b951f23c36ad020e17bb4,-77.21796614,35.01300696,north carolina
5a566492059dda8492b748ffb58b88fdb5918991,-78.95313271,35.90274009,north carolina
5300b8ac95499e21ac217581ae52575d51472f78,-78.96046666,34.81460686,north carolina
69ba75f9a1cd1f29a5a5b9181a05cbccec3193b9,-80.86091325,35.24248388,north carolina
44ae62825423d3792a9e902d44c1ffacceaa1d22,-77.98769239,35.39641702,north carolina
2f4d08a6b467f0eb9ff2614660227f94b0dc5f75,-77.91370231,34.20716376,north carolina
04d157bda9a12229414558e9780bafec4919484b,-78.97471274,36.32585718,north carolina
ccf65b6d28267d2d894de8cb1326e9c27fb4d050,-82.68999383,35.98638497,north carolina
53315a179b32955c488e5e32973653131c54926a,-79.44742287,36.05929111,north carolina
02928c6bd1b1a59f232e0b29547deceae8770285,-79.02260866,34.60891981,north carolina
ecf0061e40a85623cb5ef144287db33e7bdfe797,-78.65102261,35.78097508,north carolina
8a21467e3603cdb3146dcb4f404aebaa7bf59412,-77.8940923,34.03346672,north carolina
63a0fbb09ad4b13adad8184ce915df9cfafb1132,-80.085849,34.97654686,north carolina
20c9375a1ee417affec071f532dab0776aceb14c,-80.48545316,35.66305099,north carolina
fbde24b12ea54abcb17fbb6a2ea73851b98ff2a9,-80.38181315,36.03066707,north carolina
87098a2f406891a4817caf85cd4100ca66f630b1,-80.2045031,36.10532309,north carolina
64691b5907734d6a42bdae29e269faf2f25c9d78,-77.92274739,35.72779709,north carolina
ec328e910e40f8d593a24d48e49057303e04c57d,-80.75703321,35.20966288,north carolina
afc7d3b102c7e00076ec116d9e545ef82c578162,-78.91769271,36.02244512,north carolina
31421d6fbd6793fa203543e3fe46193d1f4099de,-80.47542916,35.66668699,north carolina
4dcc8d02ef9e5d7016c3d3407813800e7ebebc7d,-78.64119261,35.76658208,north carolina
2031a3f179d5a4b2a28dcbd8fe69fd6bcd304fe9,-81.23695336,35.29256388,north carolina
8807562e197441bb105118d1ee73eb25235ead7c,-80.27914712,36.09359709,north carolina
ffd09ff9fb3feb041b9405407a95e0aa18f4fca6,-80.80920722,35.10358686,north carolina
50416b25c35db9142164dff486ecc223d8d437a3,-81.0471073,35.21779987,north carolina
6cdf7c0ba87b86ec780f54daaef9edbed3a22b97,-78.8930127,36.03743313,north carolina
36f6d7389fb0ee849b05b4230a01e39c65634db3,-80.79880323,35.21934688,north carolina
8863802b3df2522e76a3015f1ac073f9d86c8ba3,-80.22693311,36.10037909,north carolina
14e4549891e3e1cbf95966f9fe3f0e609f03af8c,-80.54327714,34.98157384,north carolina
f2aa58eea0457df2108cd1a8fcccb0384e23d1c2,-80.82064322,35.03043284,north carolina
0832e6e3a7d0ec3962b9da60f5419e3fcd24dcdf,-78.05682236,34.24672977,north carolina
ca7ef86897b58b97f46cad62802c5adb3b1d756e,-82.47751374,35.48742688,north carolina
6a0bccde948832893434ec004463ff29be730880,-81.15235333,35.19683686,north carolina
2c61c43e6fc5c372df6454549400f82d3eb7e4be,-77.80755836,35.91735714,north carolina
cc86d77d8bf08972e5e2a0830dfc56ee2f51f0f4,-76.2234359,36.28156227,north carolina
b39f91c7ee1b856b96001d5d2f8fa845bb760a1c,-80.32381313,36.06156108,north carolina
7f44ff1adbb31792151302eb89df768c9a804c90,-80.85577724,35.21333988,north carolina
60788e2bc0dbc9d13b3e412401fdfc1fb6b99ea2,-80.87362325,35.16407687,north carolina
daf6cdc59b3362af745c97e3a1f5fb48d3536d33,-80.83502324,35.22039388,north carolina
d12303f47a4b7b5c1b8d6e3d91fcd215daa10afc,-80.77507322,35.25060989,north carolina
a8fc75fe3667ced5658f77a12171f1f27784d366,-78.76757265,35.78178708,north carolina
86893eac06e5c20556ba1bb2c334d7c030204b37,-80.7472232,34.92423182,north carolina
b4aed984681c94351197e21e7da8df5e37596c8e,-76.93759204,34.72185491,north carolina
1f617fbf3c6ec64188db44b86c241c3de4a2a377,-78.8977427,35.98682712,north carolina
7ad49c696f24f1524d91327c0fc37c88176dd8c6,-80.41267316,36.14500709,north carolina
c3ac432135770be47ec1a629ce66b5555220af1b,-79.43117787,36.08292312,north carolina
2763df12de39f4fffcb22981012979af38cd1dc5,-77.83893229,34.27750278,north carolina
d643e17ddf95b2b1bf3bcdc7b5933c1f60073a74,-81.55469849,35.83085698,north carolina
c2250d9bb2206572f163f632b5fcef5ecee64415,-82.55698377,35.5940669,north carolina
5624883d37273aa050c7fa3ceb972b63262b9ac3,-76.73794798,34.70403191,north carolina
68d73d7a3e2a27eaf8f4839df81a47a5059a6b7d,-80.89756326,35.25503689,north carolina
09db83ad9ae72495f4f2d9790b3a34e15e1f61cf,-80.78098322,35.24888689,north carolina
143fc63d6451d0128ead802a6e11fa6291a777f2,-78.56247259,35.80006309,north carolina
33bec871fef0c389f2e07cba30877649debb12cf,-79.01058268,35.05989391,north carolina
e5a5ce9b94e1d8287923f0b0f316c51437b38e86,-80.54122322,36.45296715,north carolina
acdf21f37ba37671c517295ba2ed21dd5d5d36fc,-79.7551989,34.92297286,north carolina
77c137707fbfd655620ee96400ebca8fb7c8ba50,-80.69150819,35.16454287,north carolina
a1d3aafc2f45ae3726f1ba01d7b5f53ff372b324,-78.56008259,35.83253009,north carolina
b6f8b07e6622d3049dfebe9d38ce92af0754661f,-80.38132315,36.02645707,north carolina
aac9635493390bfd337329f0fdc9dc804b1f990a,-79.75323296,36.0871771,north carolina
15148ee9681b0c72627279e67717b0804ad3b1ce,-80.025193,35.21646691,north carolina
f3587b9e6e33df3c161b0e0ef247b9c606bd0c92,-76.74225798,34.70118291,north carolina
60ecf6b20a5d5722ebcadd4e69284e1b44612a7c,-80.83040324,35.18930387,north carolina
47b0a15823b98fea29fdec9bfd8528e12f04acf6,-78.8915277,36.08241213,north carolina
5a4ccc57406bbe1754813263b302e62b029486ca,-81.79727355,35.67580694,north carolina
68060e942d311c40b76f9fb1dd8dd63b51ede8c9,-77.85686737,35.82572512,north carolina
78c0fa0ec4a117f949e6210daac0221a1b4db475,-76.33018189,35.40710008,north carolina
0952359a4f8667ab94f98671b0178e229d15fd81,-75.74027174,36.12929725,north carolina
f2b5d2a1b6bfb7b1a7eca12537089cd3f1655faf,-80.20090306,35.35034693,north carolina
62dd5e4e8e600d9e0d902b3e4c717634102e5ea7,-81.10900333,35.3330169,north carolina
d1509bba191711c8f096b181c31b4c18332b6f8c,-78.63940261,35.77959708,north carolina
7dcfdbbee9044cf95be6a3872eec6d6992547955,-79.81360298,36.0525171,north carolina
caff20896d773f26907560e5ff1fb5903ee5fa1d,-75.51050163,35.35216709,north carolina
fe9b543e9757d033bd3ca094d9d60a3a6c2cffe7,-77.94390239,35.70983709,north carolina
d2d2a90f19348857033c770866f3e6ae9524c0d0,-79.43670287,36.10049712,north carolina
7a0960361ff9947a9d1d3c29ca29f974a8a33a14,-77.36190221,35.60388709,north carolina
9d2a95727a3edc2bb879cbe6cd9d28515c8301b2,-80.08750302,35.2051269,north carolina
028e378a57ea5c68bc5446cd0a558955d9088ff5,-79.81540298,36.0631771,north carolina
edb0de681813cf949716c03739e4bb11e870b6a9,-80.7171032,35.12446687,north carolina
a20a96021938addef3cfc06d3127a7d5228e2451,-80.83580324,35.27427689,north carolina
37bf8491ed31c6787034d2c006a3f026727d3fcb,-79.884503,36.0890771,north carolina
bc360553127b9944dea1ac0fd2a3d15e3701e3c1,-77.65460235,36.46107726,north carolina
382dcc8f56a7b289fdcc891fedcae03efb33ad53,-82.46220373,35.31399684,north carolina
b8b146d6ef8cbe129a58201b66a25a01046d8e89,-79.77700299,36.49044719,north carolina
e9439ae522fd3709891efad10dbb0dbbd8255afc,-78.03900234,33.99194671,north carolina
437f6ddf3d1c8271a32900b8072d09781be6d6a5,-77.8863023,34.21382676,north carolina
8b89ec2078e60afa279347f66e79b26159046fdf,-78.10850244,35.65600707,north carolina
9bd729d6e2a2214b519b19b66e26ff72ebf86d65,-80.7283032,35.15555687,north carolina
