recordid,latitude,longitude,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
08b9d031309660bbd34b0e8b85d133df1dc7c62c,-78.68690262,35.78495708,"north carolina",35.785199,-78.687393,1,rooftop,3700,"Western Blvd",Raleigh,NC,"Wake County",27606,US,Cary
12efbefa029bb17b03700b85ea69625a43d23fdf,-78.66275262,35.78603708,"north carolina",35.786636,-78.662769,1,rooftop,2010,"Hillsborough St",Raleigh,NC,"Wake County",27607,US,Wake
f34a30e6e88607cbf6686a265529ce8e070d5d14,-78.57991259,35.8448441,"north carolina",35.844141,-78.580534,0.99,rooftop,4413,"Capital Blvd",Raleigh,NC,"Wake County",27604,US,"NC Geographic Information Coordinating Council"
6080fca454dfe5805be00ea776c547e728dabb5c,-79.79370297,36.0647231,"north carolina",36.06447,-79.793676,1,rooftop,1000,"S Eugene St",Greensboro,NC,"Guilford County",27406,US,"City of Greensboro"
e321a894bb35f28cf5e12f317985dd489d3c26ca,-77.79626736,35.94462114,"north carolina",35.944518,-77.796551,1,rooftop,150,N,"Rocky Mount",NC,"Nash County",27804,US,"NC Geographic Information Coordinating Council"
6db57ee461ce74c92d95b4671ed6035a85923903,-79.00976872,35.78640707,"north carolina",35.786356,-79.009734,0.99,nearest_street,3874,"State Rd 1008",Apex,NC,"Chatham County",27523,US,"TIGER/Line® dataset from the US Census Bureau"
242c9141df99407adf9a8e215260048b56934c21,-78.69808264,36.04600713,"north carolina",36.045872,-78.697697,1,rooftop,14716,"Creedmoor Rd","Wake Forest",NC,"Wake County",27587,US,Wake
5b18a9e79171165d4c39c879b0645299452a1b89,-76.2234419,36.28155727,"north carolina",36.281236,-76.223801,1,rooftop,1311,"Halstead Blvd","Elizabeth City",NC,"Pasquotank County",27909,US,"NC Geographic Information Coordinating Council"
3d02b092632ef2d4da48e54e60c1d329794d0709,-78.98819266,34.62893982,"north carolina",34.628979,-78.988964,1,rooftop,1601,"Roberts Ave",Lumberton,NC,"Robeson County",28358,US,Robeson
f36fb83f1666feee06d3f0365508e7203ccb8d14,-79.09035275,35.92396509,"north carolina",35.923685,-79.090546,1,rooftop,915,"Hillsborough Rd",Carrboro,NC,"Orange County",27510,US,"NC Geographic Information Coordinating Council"
d14ea988702993cc2d2e5541bb892c04c978443e,-78.01032236,34.69568987,"north carolina",34.695653,-78.010256,0.99,nearest_street,1035,"Willard Rd",Willard,NC,"Pender County",28478,US,"TIGER/Line® dataset from the US Census Bureau"
4adc04f153c815b1da5169aaee9c177585ea0c61,-80.88080924,35.07050685,"north carolina",35.070397,-80.879859,0.99,rooftop,12710,"Pine Acres Ave",Pineville,NC,"Mecklenburg County",28134,US,Mecklenburg
acca18c0bbcc6aca4853bc613f36a456b8201e95,-77.91190239,35.72376209,"north carolina",35.723629,-77.911853,1,rooftop,"610 610","Hines St W",Wilson,NC,"Wilson County",27893,US,"NC Geographic Information Coordinating Council"
5734c05b297a40d5d88ab5dc612d6eba00c771b3,-80.89748726,35.24589488,"north carolina",35.246291,-80.897909,1,rooftop,4400,"Tuckaseegee Rd",Charlotte,NC,"Mecklenburg County",28208,US,"NC Geographic Information Coordinating Council"
8bcb9b430e80ee13da252def17d4ba0938e1da46,-80.87923725,35.13771686,"north carolina",35.137664,-80.879014,1,rooftop,810,"E Arrowood Rd",Charlotte,NC,"Mecklenburg County",28217,US,Mecklenburg
a0db26cd56d8e92e58327f16d5f5a3170d1e40fa,-80.73841321,35.19995688,"north carolina",35.199742,-80.738734,1,rooftop,6300,"Woodbend Dr",Charlotte,NC,"Mecklenburg County",28212,US,"NC Geographic Information Coordinating Council"
56b2d8831363dae35205ed2731f2b1eaebb53d1c,-80.75871322,35.24066489,"north carolina",35.240788,-80.758496,1,rooftop,5300,"Galway Dr",Charlotte,NC,"Mecklenburg County",28215,US,Mecklenburg
aed7b1600233b75cda84db6d88eb86ab164951cf,-80.74691321,35.18587388,"north carolina",35.185974,-80.746769,1,rooftop,6903,"Idlewild Rd",Charlotte,NC,"Mecklenburg County",28212,US,Mecklenburg
2bcce3e5cabbccd9afcc2c105ba773b7e495bd7e,-80.84300324,35.20066688,"north carolina",35.200953,-80.842704,1,rooftop,1419,"East Blvd",Charlotte,NC,"Mecklenburg County",28203,US,"NC Geographic Information Coordinating Council"
cacad073eafacee5c6f7947413ddf1f79029c578,-80.90493326,35.21068688,"north carolina",35.210321,-80.905,1,rooftop,4629,"W Tyvola Rd",Charlotte,NC,"Mecklenburg County",28208,US,"NC Geographic Information Coordinating Council"
cdb6098b21ec18f51de14f7b2ad0bd2bf5df2ec3,-80.74819321,35.15543687,"north carolina",35.155363,-80.748214,1,rooftop,8346,"Monroe Rd",Charlotte,NC,"Mecklenburg County",28212,US,"NC Geographic Information Coordinating Council"
5ed213f735a7b8ed686a4a32e2c399ec1cd0ca07,-80.90468326,35.21431688,"north carolina",35.214494,-80.904729,1,rooftop,2622,"Hemphill St",Charlotte,NC,"Mecklenburg County",28208,US,Mecklenburg
63f3e44cbc3890ce5b8ad6785951eee9e743d716,-80.78172322,35.24943489,"north carolina",35.249659,-80.781548,1,rooftop,4331,"The Plz",Charlotte,NC,"Mecklenburg County",28205,US,"NC Geographic Information Coordinating Council"
197d0d412ed2609afa8d6a134d59358175761c6f,-81.50906348,35.919927,"north carolina",35.920522,-81.509176,1,rooftop,701,"Wilkesboro Blvd NE",Lenoir,NC,"Caldwell County",28645,US,"NC Geographic Information Coordinating Council"
af35b85eeae10d530a2671043e97a9c181dc7bd4,-80.80205823,35.25989089,"north carolina",35.259949,-80.802087,1,rooftop,419,"W Craighead Rd",Charlotte,NC,"Mecklenburg County",28206,US,Mecklenburg
a8eb401204fb91ba4cd888a0702e9fb1fa2cb8fe,-77.56016725,35.259639,"north carolina",35.259571,-77.56046,1,rooftop,112,"N Secrest St",Kinston,NC,"Lenoir County",28501,US,Lenoir
f937d982e7c9f599b8d9d529694207b9db2372a2,-80.81235823,35.19940488,"north carolina",35.199258,-80.811586,1,rooftop,2801,"Randolph Rd",Charlotte,NC,"Mecklenburg County",28205,US,"NC Geographic Information Coordinating Council"
c7bd46e99ca8ce4a416de5cbf6cd3ff5713786a8,-80.75725922,35.21007088,"north carolina",35.210279,-80.757335,1,rooftop,5137,"Central Ave",Charlotte,NC,"Mecklenburg County",28205,US,"NC Geographic Information Coordinating Council"
dff5201ec9a820df9fd48659e5a9960e294a67a8,-77.88737239,35.96971115,"north carolina",35.969252,-77.887271,1,rooftop,4487,"Sunset Ave","Rocky Mount",NC,"Nash County",27804,US,Nash
c27adcafb00ef161c97b1a6bef6907d4cf875a37,-78.97001268,35.25032695,"north carolina",35.250538,-78.97017,1,rooftop,218,"W Northpoint Rd","Spring Lake",NC,"Harnett County",28390,US,"NC Geographic Information Coordinating Council"
571717783d6b2f59f391ea5c0c0f02b74d3efaf7,-76.24569191,36.31284728,"north carolina",36.313038,-76.245903,1,rooftop,403,"Jessup St","Elizabeth City",NC,"Pasquotank County",27909,US,"NC Geographic Information Coordinating Council"
19ce0933ae31f582d510dac2c7bd02d45a1f7a0b,-80.78762323,35.36551991,"north carolina",35.365444,-80.787688,1,rooftop,12585,"Dearmon Rd",Charlotte,NC,"Mecklenburg County",28269,US,"NC Geographic Information Coordinating Council"
8cd414f935b10fe6ed948dc656cfeed755588cc7,-79.82491296,35.64558301,"north carolina",35.645515,-79.825666,1,rooftop,4228,"220 Business S",Asheboro,NC,"Randolph County",27205,US,"NC Geographic Information Coordinating Council"
61f75281e5e5a0a731500933818269878df2e659,-78.64957661,35.78854708,"north carolina",35.788359,-78.649579,1,rooftop,709,"W Peace St",Raleigh,NC,"Wake County",27603,US,"NC Geographic Information Coordinating Council"
1d07b8ff62cfd3fa4e460176671664aa9b62086a,-79.75170296,36.0852071,"north carolina",36.085362,-79.751492,1,rooftop,2701,"E Bessemer Ave",Greensboro,NC,"Guilford County",27405,US,"NC Geographic Information Coordinating Council"
4a228f7e159d5c7c535038de84b54d385e78778f,-80.01294306,36.41319216,"north carolina",36.412932,-80.01311,1,rooftop,110,"Cardinal Rd",Madison,NC,"Rockingham County",27025,US,"NC Geographic Information Coordinating Council"
dba765628d5aba3abecdcb5b61c40a377beb632b,-80.62423319,35.47914394,"north carolina",35.479246,-80.62404,1,rooftop,1210,"Fortress Ln",Kannapolis,NC,"Cabarrus County",28083,US,Cabarrus
8eddde00a5f56c235e4cbe372c3f00c7bca652f1,-77.93616232,34.19481176,"north carolina",34.195186,-77.936598,1,rooftop,2396,"Carolina Beach Rd",Wilmington,NC,"New Hanover County",28401,US,"New Hanover"
e375fa073f1c51dc6f2d1fed323364a3789a1c30,-77.98521239,35.40169102,"north carolina",35.401911,-77.984644,1,rooftop,1516,"N William St",Goldsboro,NC,"Wayne County",27530,US,Wayne
413a4109a5b2d1f678b09a835c9f6f330f1b1ea9,-80.87900325,35.25367689,"north carolina",35.253627,-80.878779,1,rooftop,331,"Jones St",Charlotte,NC,"Mecklenburg County",28208,US,Mecklenburg
717b23338f7f8932f63481a32e80a38f196b3094,-80.89023325,35.20059887,"north carolina",35.200592,-80.890138,1,rooftop,1022,"Clanton Rd",Charlotte,NC,"Mecklenburg County",28217,US,Mecklenburg
d8a09cf94a292e568c11077fd574c22b50c9fda1,-80.85403325,35.26682689,"north carolina",35.266724,-80.853863,1,rooftop,2336,"Beatties Ford Rd",Charlotte,NC,"Mecklenburg County",28216,US,Mecklenburg
a3fc292e9deeb8b09fff8940c24e7e916a522e81,-81.3612474,35.30456688,"north carolina",35.304827,-81.360282,0.99,rooftop,1920,"County Line Rd","Kings Mountain",NC,"Gaston County",28086,US,"NC Geographic Information Coordinating Council"
