,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
55608,"2300 Sardis Rd N, Ste Q","{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",bKR99NjH1XIEihWC8M0ytQ,"Home Cleaning, Home Services",Charlotte,"{'Monday': '7:30-17:0', 'Tuesday': '7:30-17:0', 'Wednesday': '7:30-17:0', 'Thursday': '7:30-17:0', 'Friday': '7:30-17:0'}",1,35.1847394,-80.7602603,"Merry Maids","Sherwood Forest",28227,14,3.5,NC,35.184775,-80.76027,1,rooftop,6101,"Idlewild Rd",Charlotte,NC,"Mecklenburg County",28212,US,"NC Geographic Information Coordinating Council"
55619,"2719 Central Ave","{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",hFZX4EKI77iLYRjMb4kN7g,"Vietnamese, Restaurants",Charlotte,"{'Monday': '9:30-21:30', 'Wednesday': '9:30-21:30', 'Thursday': '9:30-21:30', 'Friday': '9:30-21:30', 'Saturday': '9:30-21:30', 'Sunday': '9:30-21:30'}",0,35.2191059,-80.7970519,"Kien Giang Food 2 Go","Plaza Midwood",28205,16,4,NC,35.219113,-80.797055,1,rooftop,2719,"Central Ave",Charlotte,NC,"Mecklenburg County",28205,US,Mecklenburg
55714,"5361 Ballantyne Cmns Pkwy","{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'False', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",9-yw7Dh6fMl-Wgnq0vD9sQ,"Coffee & Tea, Food",Charlotte,,1,35.0632816,-80.7737017,Starbucks,,28277,15,2.5,NC,35.063294,-80.77374,1,rooftop,5361,"Ballantyne Commons Pkwy",Charlotte,NC,"Mecklenburg County",28277,US,"NC Geographic Information Coordinating Council"
55729,"10645 Park Rd","{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'False', 'DriveThru': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': True, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",iYF5pOkwltgKUWIzDNKx7Q,"Food, Restaurants, Hot Dogs, Desserts, Fast Food, Burgers, American (Traditional)",Charlotte,"{'Monday': '10:30-3:30', 'Tuesday': '10:30-3:30', 'Wednesday': '10:30-3:30', 'Thursday': '10:30-3:30', 'Friday': '10:30-4:30', 'Saturday': '10:30-4:30', 'Sunday': '10:30-3:30'}",1,35.0916321,-80.8690805,"Cook Out",,28210,49,3,NC,35.091566,-80.869072,1,rooftop,10645,"Park Rd",Charlotte,NC,"Mecklenburg County",28210,US,Mecklenburg
55755,"3030 S Tryon St","{'BusinessAcceptsCreditCards': 'True'}",jWGksoUmkbwY4jJpNjNGOw,"Transmission Repair, Auto Repair, Automotive",Charlotte,"{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-18:0'}",1,35.200604,-80.873897,"The Neighborhood Garage",,28217,61,4.5,NC,35.200611,-80.8739,1,rooftop,3030,"S Tryon St",Charlotte,NC,"Mecklenburg County",28203,US,Mecklenburg
55807,"101 S Tryon St, Ste 14","{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': True, 'casual': False}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': True, 'lot': False, 'valet': False}"", 'Caters': 'True', 'CoatCheck': 'False', 'GoodForDancing': 'False', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HappyHour': 'True', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': True, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'Smoking': 'no', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",LUZ94dZpgCmBGyNH52S7lg,"Bars, Restaurants, Nightlife, Mediterranean, Cocktail Bars, Gastropubs, American (New)",Charlotte,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '10:30-0:0', 'Sunday': '10:30-22:0'}",1,35.2265794,-80.84281420000001,"Essex Bar & Bistro",Uptown,28280,341,3.5,NC,35.226535,-80.842546,1,rooftop,120,"E Trade St",Charlotte,NC,"Mecklenburg County",28202,US,Mecklenburg
55812,"2900 Eastway Dr",,Y-bM_IcVmG6cLRAxWtuF6Q,"Automotive, Auto Repair",Charlotte,,1,35.217213074,-80.7809958614,"Super Lube","Plaza Midwood",28205,5,4,NC,35.2171,-80.780953,1,rooftop,2900,"Eastway Dr",Charlotte,NC,"Mecklenburg County",28205,US,"NC Geographic Information Coordinating Council"
55850,"114 Cherokee Rd","{'Alcohol': 'beer_and_wine', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': True, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",13-n6Gm0AK0QK28iatttWQ,"Sandwiches, Delis, Coffee & Tea, Food, Restaurants",Charlotte,"{'Monday': '5:30-22:30', 'Tuesday': '5:30-22:30', 'Wednesday': '5:30-22:30', 'Thursday': '5:30-22:30', 'Friday': '5:30-0:30', 'Saturday': '6:0-0:30', 'Sunday': '6:0-22:30'}",1,35.2021771,-80.8242192,"Laurel Market",Elizabeth,28207,84,4.5,NC,35.20217,-80.824243,1,rooftop,114,"Cherokee Rd",Charlotte,NC,"Mecklenburg County",28207,US,Mecklenburg
55910,"4810 Ashley Park Ln, Ste B","{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'GoodForKids': 'True', 'WheelchairAccessible': 'True'}",ja1Svo3pX0Z_flliTrukHg,"Hair Extensions, Blow Dry/Out Services, Hair Salons, Beauty & Spas, Makeup Artists, Hair Stylists",Charlotte,"{'Monday': '9:0-15:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-17:0'}",1,35.1465342,-80.8303738,"Denise Antonacci Salon","South Park",28210,8,5,NC,35.146586,-80.83024,1,rooftop,4810,"Ashley Park Ln",Charlotte,NC,"Mecklenburg County",28210,US,Mecklenburg
55916,"3020 Prosperity Church Rd, Ste G","{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True'}",G9VWuo38DBXu3l6Nknbbpg,"Hair Salons, Beauty & Spas",Charlotte,"{'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-18:0', 'Saturday': '9:0-16:0'}",1,35.3432482,-80.7690779,"Hair Classics Salon","Highland Creek",28269,23,4.5,NC,35.343205,-80.769125,1,rooftop,3020,"Prosperity Church Rd",Charlotte,NC,"Mecklenburg County",28269,US,"NC Geographic Information Coordinating Council"
