,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
108185,"5300 Closeburn Rd","{'GoodForKids': 'True'}",lKZGe_WqrGbjLWjfSm9qWw,"Active Life, Tennis",Charlotte,,1,35.150282,-80.850352,"Park Road Park Tennis Courts",,28210,5,3,NC,35.150289,-80.850355,1,rooftop,5300,"Closeburn Rd",Charlotte,NC,"Mecklenburg County",28210,US,Mecklenburg
108190,"8531 N Tryon St","{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'NoiseLevel': 'average', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True'}",OMlvHQ6ywnJJ6h_5gTnqAA,"American (Traditional), Restaurants, Burgers, Breakfast & Brunch",Charlotte,"{'Monday': '6:0-21:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-21:0', 'Friday': '6:0-21:0', 'Saturday': '6:0-21:0', 'Sunday': '6:0-21:0'}",1,35.3052619,-80.751018,"Shoney's Restaurants","University City",28262,23,2,NC,35.305316,-80.751037,1,rooftop,8531,"N Tryon St",Charlotte,NC,"Mecklenburg County",28262,US,Mecklenburg
108219,"1401 Freedom Dr","{'BusinessAcceptsCreditCards': 'True'}",BJ8C1z6r5yIVUfAXkRJ5Lw,"Party Equipment Rentals, Party Supplies, Event Planning & Services",Charlotte,"{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}",1,35.226824,-80.867902,"Party Time Rentals",,28208,4,2,NC,35.226831,-80.867906,1,rooftop,1401,"Freedom Dr",Charlotte,NC,"Mecklenburg County",28208,US,Mecklenburg
108234,"2113 N Davidson St","{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",wPbR3K8eiLWmDJvQdaHEXA,"Food, Coffee & Tea",Charlotte,"{'Monday': '9:0-16:30', 'Tuesday': '9:0-16:30', 'Wednesday': '9:0-16:30', 'Thursday': '9:0-16:30', 'Friday': '9:0-13:0'}",1,35.239175,-80.816209,"Boquete Mountain Coffee Roasters",NoDa,28205,5,5,NC,35.239182,-80.816212,1,rooftop,2113,"N Davidson St",Charlotte,NC,"Mecklenburg County",28205,US,"NC Geographic Information Coordinating Council"
108248,,"{'BusinessAcceptsCreditCards': 'True'}",Aq4Dc4Nsd1ZxNB9SCB2I6g,"Event Planning & Services, Photo Booth Rentals",Charlotte,"{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}",1,35.1825962,-80.6548882,"Get In Photo Booth",,28227,3,5,NC,35.181862,-80.655171,0.99,rooftop,7708,"Nelson Rd",Charlotte,NC,"Mecklenburg County",28227,US,"NC Geographic Information Coordinating Council"
108253,"220 N Tryon St","{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",trAd97ig2agtkZl2cimOMQ,"Food, Event Planning & Services, Restaurants, American (New), Sandwiches, Cafes, Bakeries, Caterers",Charlotte,"{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0'}",1,35.2281064,-80.8408062,"Something Classic Cafe",Uptown,28263,27,4,NC,35.228241,-80.840987,1,rooftop,218,"N Tryon St",Charlotte,NC,"Mecklenburg County",28202,US,"NC Geographic Information Coordinating Council"
108256,"17925 Halton Park Dr",,X7KXevf0RKjLpoVJFyB0bQ,"Home Services, Apartments, Real Estate",Charlotte,,1,35.3162386,-80.7089283,"Halton Park Apts",,28262,3,1.5,NC,35.31698,-80.710716,1,nearest_street,,"I 485",Charlotte,NC,"Mecklenburg County",28262,US,"TIGER/Line® dataset from the US Census Bureau"
108302,"1636 Sardis Rd N, Ste 125",,KN-Y4u3hvFewTmdPzvCTSA,"Pets, Pet Groomers, Pet Services",Charlotte,"{'Tuesday': '8:30-18:0', 'Wednesday': '8:30-18:0', 'Thursday': '8:30-18:0', 'Friday': '8:30-18:0', 'Saturday': '8:30-17:0'}",1,35.13824,-80.7368122,"Pawradise Pet Grooming",,28270,5,4,NC,35.138258,-80.736824,1,rooftop,1636,"Sardis Rd N",Charlotte,NC,"Mecklenburg County",28270,US,Mecklenburg
108306,"1707 Sardis Rd N",,UxnNnTH4kjWALFUcqZYVag,"Education, Dance Schools, Performing Arts, Arts & Entertainment, Specialty Schools",Charlotte,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}",1,35.1408432,-80.73785719999999,"Miss Donna's School Of Dancing",,28270,7,2.5,NC,35.140739,-80.73782,1,rooftop,1707,"Sardis Rd N",Charlotte,NC,"Mecklenburg County",28270,US,"NC Geographic Information Coordinating Council"
108308,"8631 Arbor Creek Dr",,ZDcRa_BMfqqepbSoX5gEAg,"Health & Medical, Cosmetic Dentists, Pediatric Dentists, General Dentistry, Dentists",Charlotte,"{'Monday': '8:30-17:0', 'Tuesday': '8:30-17:0', 'Wednesday': '8:30-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-13:0'}",1,35.383316,-80.785273,"Eastfield Pediatric Dentistry & Orthodontics",,28269,3,1,NC,35.383323,-80.785276,1,rooftop,8631,"Arbor Creek Dr",Charlotte,NC,"Mecklenburg County",28269,US,Mecklenburg
