,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
158668,"120 N Cedar St, Ste 755","{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'CoatCheck': 'False', 'GoodForDancing': 'False', 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'HappyHour': 'True', 'HasTV': 'True', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': True, 'video': False, 'jukebox': False}"", 'NoiseLevel': 'loud', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'Smoking': 'outdoor', 'WheelchairAccessible': 'True', 'WiFi': 'no'}",Y84fM25GsIWfS7E0dMIKDQ,"American (Traditional), Nightlife, Arts & Entertainment, Bars, Restaurants",Charlotte,"{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '10:0-0:0'}",1,35.2335299,-80.8488931,Cedar Street Tavern,Third Ward,28202,63,3.5,NC,35.233495,-80.848963,1,rooftop,120,N Cedar St,Charlotte,NC,Mecklenburg County,28202,US,NC Geographic Information Coordinating Council
158707,"3125 Springbank Ln, Ste A","{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}",wCF-FfB6A__UhWTd7phhvw,"Nutritionists, Health & Medical, Doctors, Naturopathic/Holistic",Charlotte,"{'Monday': '8:30-16:30', 'Tuesday': '8:30-19:0', 'Wednesday': '8:30-16:30', 'Thursday': '8:30-16:30', 'Friday': '8:30-12:0'}",1,35.0537776,-80.8467812,Signature Wellness,Ballantyne,28226,4,3,NC,35.053694,-80.846902,1,rooftop,15201,John J Delaney Dr,Charlotte,NC,Mecklenburg County,28277,US,Mecklenburg
158709,,{'BusinessAcceptsCreditCards': 'True'},f5mpGkUp1xNJTawnoUI9Tg,"Home Inspectors, Wildlife Control, Pest Control, Home Services, Local Services",Charlotte,"{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '8:0-18:0'}",1,35.231402,-80.845841,A-1 Wildlife Control,Uptown,28277,5,4,NC,35.231403,-80.845841,1,nearest_street,500,W 5th St,Charlotte,NC,Mecklenburg County,28202,US,TIGER/Line® dataset from the US Census Bureau
158712,9626 Monroe Rd,"{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'GoodForKids': 'True', 'HasTV': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",G6_M3Dg-gjwVIbRGLIRBkw,"Chinese, Restaurants",Charlotte,"{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-22:0'}",1,35.140787,-80.740696,Chopstick,,28270,22,3,NC,35.140794,-80.740699,1,rooftop,9626,Monroe Rd,Charlotte,NC,Mecklenburg County,28270,US,NC Geographic Information Coordinating Council
158740,710 W Trade St,"{'Alcohol': 'full_bar', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}"", 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True'}",ysa5MEfWqybujFjsiXq7Lg,"Restaurants, Pizza",Charlotte,"{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '11:30-14:30', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-21:0'}",0,35.232829,-80.848563,Pie Town,Third Ward,28263,17,3,NC,35.232836,-80.848567,1,rooftop,710,W Trade St,Charlotte,NC,Mecklenburg County,28202,US,Mecklenburg
158779,"2907 Providence Rd, Ste 101 Bldg A","{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WiFi': 'no'}",GSocTW7IhePDXOt4YDs9nw,"Juice Bars & Smoothies, Food",Charlotte,"{'Monday': '7:0-19:0', 'Tuesday': '7:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '8:0-16:30'}",1,35.1713096,-80.8075031,Juice Bar Providence Plaza,Cotswold,28211,24,4,NC,35.171411,-80.807567,1,rooftop,2907,Providence Rd,Charlotte,NC,Mecklenburg County,28211,US,Mecklenburg
158798,10223 University City Blvd,"{'Alcohol': 'none', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True'}",77UgkEWSP39EHE8B_41hPA,"Pizza, Restaurants",Charlotte,"{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '12:0-23:0'}",1,35.3123766,-80.7135491,Little Caesar's Pizza,University City,28213,21,2,NC,35.312462,-80.713538,1,rooftop,10223,University City Bv,Charlotte,NC,Mecklenburg County,28262,US,Mecklenburg
158799,8225 University City Blvd,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'True', 'NoiseLevel': 'quiet', 'RestaurantsAttire': 'casual', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True'}",GkjeKTUzG4rjvYN3KjSqlg,"Japanese, Restaurants, Sushi Bars",Charlotte,"{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '11:30-21:0'}",0,35.295133,-80.746474,US Sushi,University City,28213,7,3,NC,35.29514,-80.746477,1,rooftop,8225,University City Blvd,Charlotte,NC,Mecklenburg County,28213,US,NC Geographic Information Coordinating Council
158816,1531 E Blvd,"{'Alcohol': 'beer_and_wine', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'False', 'Caters': 'True', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': True}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",ZX9eujPNUxqWEWYdr4Ulqg,"Food Trucks, Food, American (New), Restaurants, Chicken Wings, Sandwiches, Soup, Salad",Charlotte,"{'Monday': '7:0-16:0', 'Tuesday': '7:0-16:0', 'Wednesday': '7:0-16:0', 'Thursday': '7:0-16:0', 'Friday': '7:0-16:0', 'Saturday': '7:0-16:0', 'Sunday': '7:0-16:0'}",1,35.19988277,-80.84123593,The Mayobird,Dilworth,28203,146,4,NC,35.199849,-80.841192,1,rooftop,1531,E Bv,Charlotte,NC,Mecklenburg County,28203,US,Mecklenburg
158831,9100 Perimeter Woods Dr,,KD1ojxt8w1aBhW1vm2CCHQ,"Windows Installation, Roofing, Home Services, Siding, Flooring",Charlotte,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-12:0'}",1,35.3444924,-80.8510984,Champion Windows and Home Exteriors of Charlotte,,28216,6,2.5,NC,35.344627,-80.851014,1,rooftop,9100,Perimeter Woods Dr,Charlotte,NC,Mecklenburg County,28216,US,Mecklenburg
