,streetname,startstreet,endstreet
0,Abbey Pl,1000,1500
1,Abbey Pl,1500,2000
2,Albemarle Rd,5000,5500
3,Albemarle Rd,5500,6000
4,Albemarle Rd,6000,6500
5,Albemarle Rd,6500,7000
6,Albemarle Rd,7000,7500
7,Albemarle Rd,7500,8000
8,Albemarle Rd,8000,8500
9,Albemarle Rd,8500,9000
10,Albemarle Rd,9000,9500
11,Albemarle Rd,9500,10000
12,Albemarle Rd,10000,10500
13,Albemarle Rd,10500,11000
14,Albemarle Rd,11000,11500
15,Albemarle Rd,11500,12000
16,Albemarle Rd,12000,12500
17,Albemarle Rd,12500,13000
18,Alleghany St,1000,1500
19,Alleghany St,1500,2000
20,Allen St,1000,1500
21,Allen St,1500,2000
22,Allenbrook Dr,1000,1500
23,Allenbrook Dr,1500,2000
24,Amos Smith Rd,6000,6500
25,Amos Smith Rd,6500,7000
26,Ann Marie Dr,100,600
27,Ann Marie Dr,600,1100
28,Apple Pie Ct,9000,9500
29,Apple Pie Ct,9500,10000
30,Ardrey Kell Rd,9000,9500
31,Ardrey Kell Rd,9500,10000
32,Atando Ave,100,600
33,Atando Ave,600,1100
34,Austin Ridge Ln,9000,9500
35,Austin Ridge Ln,9500,10000
36,Aventide Ln,9000,9500
37,Aventide Ln,9500,10000
38,Back Creek Church Rd,4000,4500
39,Back Creek Church Rd,4500,5000
40,Ballantyne Commons Pkwy,10000,10500
41,Ballantyne Commons Pkwy,10500,11000
42,Ballantyne Commons Py,5000,5500
43,Ballantyne Commons Py,5500,6000
44,Baxter St,1000,1500
45,Baxter St,1500,2000
46,Bay St,2000,2500
47,Bay St,2500,3000
48,Baybrook Ln,9000,9500
49,Baybrook Ln,9500,10000
50,Beam Rd,2000,2500
51,Beam Rd,2500,3000
52,Beatties Ford Rd,100,600
53,Beatties Ford Rd,600,1100
54,Beatties Ford Rd,1100,1600
55,Beatties Ford Rd,1600,2100
56,Beatties Ford Rd,2100,2600
57,Beatties Ford Rd,2600,3100
58,Beatties Ford Rd,3100,3600
59,Beatties Ford Rd,3600,4100
60,Bellhaven Blvd,8000,8500
61,Bellhaven Blvd,8500,9000
62,Belmont Ave,1000,1500
63,Belmont Ave,1500,2000
64,Belvedere Ave,2000,2500
65,Belvedere Ave,2500,3000
66,Black Kettle Dr,1000,1500
67,Black Kettle Dr,1500,2000
68,Blue Heron Dr,10000,10500
69,Blue Heron Dr,10500,11000
70,Boyer St,2000,2500
71,Boyer St,2500,3000
72,Bradford Dr,100,600
73,Bradford Dr,600,1100
74,Brice St,2000,2500
75,Brice St,2500,3000
76,Broad Hollow Dr,4000,4500
77,Broad Hollow Dr,4500,5000
78,Brookwood Rd,2000,2500
79,Brookwood Rd,2500,3000
80,Brown-grier Rd,13000,13500
81,Brown-grier Rd,13500,14000
82,Browne Rd,8000,8500
83,Browne Rd,8500,9000
84,Burton St,1000,1500
85,Burton St,1500,2000
86,Caldwell Rd,12000,12500
87,Caldwell Rd,12500,13000
88,Cambridge Commons Dr,7000,7500
89,Cambridge Commons Dr,7500,8000
90,Camden Rd,1000,1500
91,Camden Rd,1500,2000
92,Camp Greene St,1000,1500
93,Camp Greene St,1500,2000
94,Camp Stewart Rd,3000,3500
95,Camp Stewart Rd,3500,4000
96,Camp Stewart Rd,4000,4500
97,Camp Stewart Rd,4500,5000
