,wlane,wolane
Motorist Right Turn - Same Direction,58,268
Motorist Overtaking - Other / Unknown,54,612
Bicyclist Left Turn - Same Direction,36,281
Motorist Left Turn - Opposite Direction,34,533
Motorist Drive Out - Sign-Controlled Intersection,27,674
Motorist Lost Control - Other / Unknown,25,36
Motorist Drive Out - Commercial Driveway / Alley,22,382
Motorist Overtaking - Misjudged Space,20,263
Motorist Overtaking - Bicyclist Swerved,19,182
Motorist Overtaking - Undetected Bicyclist,12,240
Bicyclist Ride Out - Parallel Path,8,55
Head-On - Bicyclist,6,157
Motorist Left Turn - Same Direction,6,72
Bicyclist Ride Out - Other Midblock,6,134
Parallel Paths - Other / Unknown,6,65
Bicyclist Right Turn - Opposite Direction,5,11
Crossing Paths - Intersection - Other / Unknown,4,110
Bicyclist Right Turn - Same Direction,4,74
Bicyclist Lost Control - Other / Unknown,4,47
"Motorist Lost Control - Oversteering, Improper Braking, Speed",3,5
Motorist Drive Out - Other Midblock,3,38
Motorist Drive Out - Signalized Intersection,3,65
Crossing Paths - Uncontrolled Intersection,3,63
Signalized Intersection - Other / Unknown,3,145
Bicyclist Overtaking - Parked Vehicle,3,41
Bicyclist Ride Out - Midblock - Unknown,3,112
Bicyclist Ride Through - Signalized Intersection,2,192
Bicyclist Overtaking - Extended Door,2,17
Motorist Drive Out - Right Turn on Red,2,123
Motorist Right Turn - Opposite Direction,2,48
Non-Roadway,2,317
Bicyclist Overtaking - Other / Unknown,2,47
Bicyclist Lost Control - Surface Conditions,2,7
Motorist Drive In / Out - Parking,1,3
Motorist Turning Error - Right Turn,1,17
Motorist Intentionally Caused,1,15
Motorist Drive Out - Residential Driveway,1,34
Unknown Approach Paths,1,65
Motorist Lost Control - Alcohol / Drug Impairment,1,3
Bicyclist Overtaking - Passing on Left,1,10
Sign-Controlled Intersection - Other / Unknown,1,64
Bicyclist Failed to Clear - Trapped,1,32
Crossing Paths - Midblock - Other / Unknown,1,27
Motorist Drive Through - Sign-Controlled Intersection,1,51
Motorist Lost Control - Mechanical Problems,1,3
Bicyclist Ride Out - Sign-Controlled Intersection,1,115
Head-On - Motorist,1,33
Bicyclist Ride Out - Signalized  Intersection,1,89
Bicyclist Ride Through - Sign-Controlled Intersection,1,382
