,crashgrp
Motorist Overtaking Bicyclist,1297
Motorist Failed to Yield - Sign-Controlled Intersection,725
Motorist Left Turn / Merge,605
Bicyclist Failed to Yield - Sign-Controlled Intersection,498
Bicyclist Failed to Yield - Midblock,484
Motorist Failed to Yield - Midblock,467
Crossing Paths - Other Circumstances,409
Bicyclist Left Turn / Merge,335
Bicyclist Failed to Yield - Signalized Intersection,328
Motorist Right Turn / Merge,325
Non-Roadway,317
Loss of Control / Turning Error,314
Motorist Failed to Yield - Signalized Intersection,221
Head-On,199
Bicyclist Overtaking Motorist,141
Parallel Paths - Other Circumstances,130
Bicyclist Right Turn / Merge,85
Other / Unknown - Insufficient Details,71
Backing Vehicle,58
Other / Unusual Circumstances,40
Other/Unknown - Insufficient Details,4
.,4
Parking / Bus-Related,3
