,crashtype
Motorist Drive Out - Sign-Controlled Intersection,674
Motorist Overtaking - Other / Unknown,612
Motorist Left Turn - Opposite Direction,533
Bicyclist Ride Through - Sign-Controlled Intersection,382
Motorist Drive Out - Commercial Driveway / Alley,382
Non-Roadway,317
Bicyclist Left Turn - Same Direction,281
Motorist Right Turn - Same Direction,268
Motorist Overtaking - Misjudged Space,263
Motorist Overtaking - Undetected Bicyclist,240
Bicyclist Ride Through - Signalized Intersection,192
Motorist Overtaking - Bicyclist Swerved,182
Head-On - Bicyclist,157
Signalized Intersection - Other / Unknown,145
Bicyclist Ride Out - Other Midblock,134
Bicyclist Ride Out - Residential Driveway,130
Motorist Drive Out - Right Turn on Red,123
Bicyclist Ride Out - Sign-Controlled Intersection,115
Bicyclist Ride Out - Midblock - Unknown,112
Crossing Paths - Intersection - Other / Unknown,110
Bicyclist Ride Out - Signalized  Intersection,89
Bicyclist Ride Out - Commercial Driveway / Alley,84
Bicyclist Lost Control - Mechanical Problems,82
Bicyclist Right Turn - Same Direction,74
Motorist Left Turn - Same Direction,72
Motorist Drive Out - Signalized Intersection,65
Unknown Approach Paths,65
Parallel Paths - Other / Unknown,65
Sign-Controlled Intersection - Other / Unknown,64
Crossing Paths - Uncontrolled Intersection,63
Backing Vehicle,58
Bicyclist Ride Out - Parallel Path,55
Bicyclist Left Turn - Opposite Direction,54
Motorist Drive Through - Sign-Controlled Intersection,51
Motorist Right Turn - Opposite Direction,48
Bicyclist Lost Control - Other / Unknown,47
Bicyclist Overtaking - Other / Unknown,47
Bicyclist Overtaking - Parked Vehicle,41
Motorist Turning Error - Left Turn,41
Motorist Drive Out - Other Midblock,38
Motorist Lost Control - Other / Unknown,36
Motorist Drive Out - Residential Driveway,34
Head-On - Motorist,33
Motorist Drive Through - Signalized Intersection,33
Bicyclist Failed to Clear - Trapped,32
Crossing Paths - Midblock - Other / Unknown,27
Bicyclist Overtaking - Passing on Right,26
Multiple Threat - Midblock,24
Bicyclist Turning Error - Right Turn,23
Bicyclist Turning Error - Left Turn,17
Motorist Turning Error - Right Turn,17
Bicyclist Overtaking - Extended Door,17
Motorist Intentionally Caused,15
Unusual Circumstances,13
Motorist Drive Out - Midblock - Unknown,13
Bicyclist Right Turn - Opposite Direction,11
Unknown Location,10
Bicyclist Overtaking - Passing on Left,10
Motorist Turn / Merge - Other / Unknown,10
"Bicyclist Lost Control - Oversteering, Improper Braking, Speed",9
Head-On - Unknown,9
Bicyclist Failed to Clear - Multiple Threat,9
Bicylist Lost Control - Alcohol / Drug Impairment,9
Motorist Right Turn on Red - Same Direction,8
Motorist Turning Error - Other,8
Play Vehicle-Related,7
Bicyclist Lost Control - Surface Conditions,7
Bicyclist Failed to Clear - Unknown,6
Bicyclist Turning Error - Other,5
"Motorist Lost Control - Oversteering, Improper Braking, Speed",5
Bicycle Only,4
.,4
Motorist Drive In / Out - Parking,3
Motorist Lost Control - Mechanical Problems,3
Motorist Lost Control - Alcohol / Drug Impairment,3
Motorist Lost Control - Surface Conditions,2
Bicyclist Intentionally Caused,1
Motorist Right Turn on Red - Opposite Direction,1
Multiple Threat - Sign-Controlled Intersection,1
