,wlane,wolane,WoEScore
Motorist Overtaking Bicyclist,105.0,1297.0,1.0
Motorist Right Turn / Merge,60.0,325.0,1.0
Loss of Control / Turning Error,37.0,314.0,1.0
Bicyclist Left Turn / Merge,36.0,335.0,1.0
Parallel Paths - Other Circumstances,14.0,130.0,1.0
Motorist Left Turn / Merge,40.0,605.0,1.0
Bicyclist Right Turn / Merge,9.0,85.0,1.0
Parking / Bus-Related,1.0,3.0,1.0
Bicyclist Overtaking Motorist,8.0,141.0,0.9982179498812092
Motorist Failed to Yield - Midblock,26.0,467.0,0.9871032700525614
Other / Unusual Circumstances,1.0,40.0,0.974283529110661
Other / Unknown - Insufficient Details,1.0,71.0,0.9238238946244692
Head-On,7.0,199.0,0.9236013215857
Motorist Failed to Yield - Signalized Intersection,5.0,221.0,0.8413054877191897
Crossing Paths - Other Circumstances,12.0,409.0,0.7865274962392436
Motorist Failed to Yield - Sign-Controlled Intersection,28.0,725.0,0.7735515802759689
Bicyclist Failed to Yield - Signalized Intersection,4.0,328.0,0.6128426952960832
Bicyclist Failed to Yield - Midblock,9.0,484.0,0.5812293449738022
Non-Roadway,2.0,317.0,0.47017432612330023
Bicyclist Failed to Yield - Sign-Controlled Intersection,2.0,498.0,0.0
