,Unnamed: 0,streetname,startstreet,endstreet,segment_score,road_ids,address_nos,yelp_ids,yelp_address_nos,accident_count,business_count
0,0,Abbey Pl,1000,1500,0,[],[],[],[],0,0
1,1,Abbey Pl,1500,2000,29,['7ae16ed48ef66e15510e9b2f07912a59f8e3b5d6'],[1512.0],['n5wZxYrle8ROuK-Saq-yyw'],[1724.0],1,1
2,2,Albemarle Rd,5000,5500,28,['ee75f4c5222f1c09439e8e22fcb0a40475839717'],[5137.0],[],[],1,0
3,3,Albemarle Rd,5500,6000,29,['a6e75c75486228d5e58308366cae7932c06c5ad6'],[5550.0],['wrs4Zbz17q_G49AIRxRPVw'],[5546.0],1,1
4,4,Albemarle Rd,6000,6500,78,"['f5bc52af934341402b9c85f1d52c89179d6f6eaa', '93f3a307bf8ae73016ddcb486a3789041dc4fe6a', 'eb1741c46ce9a5ec9d745923f8875b0a20dca7fd', '3d45006a99d23e2721713b486af583356d7a294d']","[6314.0, 6007.0, 6230.0, 6007.0]",[],[],4,0
5,5,Albemarle Rd,6500,7000,78,"['70126443ec9b4c4973d9eb3c620948b0bf0835c7', '2689076b850d96fcb7abecaeb02c98c41c655e2c', '30700adf538ef01f466ade230cb513939e6a7a88', 'f1ade14911ae3c8dc4f7384036384cb846aea9ef']","[6702.0, 6703.0, 6510.0, 6702.0]",[],[],4,0
6,6,Albemarle Rd,7000,7500,26,['1caaa5335b6ca9cbb10c583a6b4daf7891cf0460'],[7239.0],['JQ4E1Im1dHMpDa1s4vJMoQ'],[7128.0],1,1
7,7,Albemarle Rd,7500,8000,0,[],[],[],[],0,0
8,8,Albemarle Rd,8000,8500,0,[],[],[],[],0,0
9,9,Albemarle Rd,8500,9000,22,['b630325e6ac956662160504ac8681a0323ef0cf3'],[8614.0],[],[],1,0
10,10,Albemarle Rd,9000,9500,68,"['eddd88676e0fc1caee2d0ce2110d56157efa5eb4', '2352512f17d4df09bf5b90a1a2eb7f52644c22d9', '66c4e87ea8b0bbdc14fa13eb88fb3e174e5cbfd0']","[9103.0, 9103.0, 9014.0]",[],[],3,0
11,11,Albemarle Rd,9500,10000,0,[],[],[],[],0,0
12,12,Albemarle Rd,10000,10500,0,[],[],[],[],0,0
13,13,Albemarle Rd,10500,11000,0,[],[],[],[],0,0
14,14,Albemarle Rd,11000,11500,0,[],[],[],[],0,0
15,15,Albemarle Rd,11500,12000,0,[],[],[],[],0,0
16,16,Albemarle Rd,12000,12500,0,[],[],[],[],0,0
17,17,Albemarle Rd,12500,13000,32,['dfd4f1c56ad4e3784d38ba101cfa86085ad804e5'],[12901.0],['pDoDY-cDLyeKQgDx5RAlnQ'],[12721.0],1,1
18,18,Alleghany St,1000,1500,43,"['e7c5307204d191180821fdfc08811edcb1967571', '1b564189a55969c5c6d6a22b33f80cab2dcbe97a']","[1342.0, 1335.0]",[],[],2,0
