,ambulancer,bikedir,bikeinjury,bikepos,crashgrp,crashloc,crashtype,development,drvrinjury,recordid,geocodio_AddressNumber,geocodio_Street,point_score
0,5,5,2,0.0,1,3,2,4,1,4cd2c336a6246cac16c11551d71ec8c34b8bbccf,800.0,E Sugar Creek Rd,23.0
1,5,0,2,5.0,1,1,2,4,1,71a2579640ff6730ec345d68c8413189539e47f1,2629.0,Phillips Ave,21.0
2,5,5,2,0.0,1,3,2,5,1,89f52db785c49090277dbe870fff478502da4545,9111.0,S Bv,24.0
3,5,3,3,5.0,1,1,2,4,1,3824572032819f21582df65f1004e00f92ac0286,2601.0,Eastway Dr,25.0
4,5,3,2,0.0,2,3,2,5,0,70ac74cd4614d91b4c7f4aa2654d74da8505c8c2,2617.0,Dion Ave,22.0
5,5,0,5,5.0,1,3,2,5,1,c581be1223c6eeff862b5482dd4d4b6b33c5172e,2656.0,Shenandoah Ave,27.0
6,5,3,3,2.5,2,3,2,5,1,8ad2460d5412d8d36755ace23f84078e99806a24,1514.0,E Bv,26.5
7,5,5,2,0.0,1,3,2,5,1,a07a2a008ee58088b8640307259a54cbf32ba76e,5023.0,Central Ave,24.0
8,5,0,3,0.0,2,1,2,5,1,63060e9170293bc1568266b4b448bc4ca259ba29,5329.0,Ballantyne Commons Py,19.0
9,0,3,2,5.0,2,1,2,4,0,fd8e7ca1d15835678572396ea0ad47d41e0c1bdc,718.0,W Bv,19.0
10,0,3,2,5.0,0,3,1,5,1,b2326160f49be27ea5ec12dcf04ebac8b5c75d97,1301.0,East Blvd,20.0
11,0,3,3,5.0,4,3,4,5,0,c1498e422cc4a348ccf60ea8186849e8cd0ca52f,751.0,W Trade St,27.0
12,5,0,3,0.0,1,1,2,4,1,adb318dd548bbb98fbf1e41700d37f26f44a67c5,6726.0,Heatherwood Ln,17.0
13,5,0,3,5.0,1,3,4,4,0,e5d30dba3af8509788da72e65a5e15a11c56226d,6517.0,Park Rd,25.0
14,0,0,1,5.0,1,3,2,4,1,7720f1bd7512d34dba7a9381feab7362305fd830,10415.0,Plaza Rd Ext,17.0
15,5,3,3,5.0,1,1,2,4,1,bad508d3e834ce2b63d7514045b960dcedf3a217,3700.0,Camp Stewart Rd,25.0
16,5,0,4,5.0,2,1,2,4,1,b74781656d506af0b0966de7c980bfc4bfc5f9bc,13106.0,Brown-grier Rd,24.0
17,5,5,2,0.0,1,1,2,4,1,8e6d0325e042d36471600d004530c6734cec4510,304.0,Beatties Ford Rd,21.0
18,5,0,2,0.0,0,0,0,4,1,23524c0225cb989467a0f25d9dc1d19d63687edb,1128.0,Oaklawn Ave,12.0
19,5,3,3,0.0,2,1,2,5,1,e357dc1f29c4e8c28ae5546e9dec994d002eef74,,I 485,22.0
20,0,3,1,0.0,2,1,2,5,1,5ab52f0d866ddff4b39f16ede93239e373e16cbf,3101.0,Shenandoah Ave,15.0
21,5,5,2,5.0,0,3,0,4,1,f78cc7f6060de8d5906fa815e2056ebb09b4b0ef,10400.0,Telscombe Ct,25.0
22,5,5,2,0.0,2,1,3,5,1,a07b37437822cc044ed2cbd4b053f97cf4e4a914,5618.0,Old Concord Rd,24.0
23,0,5,2,0.0,1,3,2,5,1,0a16b49f931f43c6a273155c08408979b22de5c9,457.0,Eastway Dr,19.0
24,5,0,5,0.0,1,3,2,5,2,bc0d8395779acfa5337ff8816198a331ed94209a,6409.0,Old Pineville Rd,23.0
25,0,3,2,5.0,1,3,2,4,1,3d2e224ef7fc3d37032a21f9e1598157635f0efb,6200.0,Wilson Grove Rd,21.0
26,5,5,3,0.0,2,1,2,4,1,85218d0799c15578a637c3d353a6bfcef1a57754,4902.0,The Plz,23.0
27,5,3,3,0.0,1,3,2,4,1,e2349090f8d21a85dd9b574a4a1e8d2aa3f10179,1660.0,West Blvd,22.0
28,5,3,3,5.0,1,3,2,5,1,4a37b887dd64c6aec713e961c98a8b48d088637a,7704.0,Colony Rd,28.0
29,0,5,3,0.0,0,3,0,4,0,8d78ef2e17051457a1499b6ff759bf3672ad0401,10716.0,Plaza Rd Ext,15.0
30,5,3,2,5.0,4,3,1,4,0,9de8a381e0f06d1b2b74f953c63e4c2128d9c751,3521.0,Shamrock Dr,27.0
31,0,5,2,5.0,1,3,2,5,1,daef6187d43d47f746ffbf29404c53795f1f2447,3059.0,Freedom Dr,24.0
32,5,3,3,5.0,2,1,2,4,1,9674d9d4000f1dc473e86a64c69001846ff43ab0,1701.0,Queens Rd W,26.0
33,5,3,3,5.0,4,1,5,5,1,e5ba7390f45119e46ab5ebae053f1cc2e2e3c04f,3701.0,Wilkinson Bv,32.0
34,0,3,4,5.0,1,1,2,0,1,6938fcf00abfb03ba3ec77c07d557ffd8ff90cd4,6798.0,State Hwy 27,17.0
35,0,3,3,0.0,4,3,1,4,2,1f5e1ebd1419bf0299e1dbc72ecfd24d29ca4439,4603.0,Narayan St,20.0
36,0,3,3,0.0,2,1,2,5,0,9b5fec9bd7489ef859660827e5e82d52164363f9,809.0,Charlottetowne Ave,16.0
37,0,3,4,5.0,4,3,5,0,0,60af5864d2143512599616919091d106b9ba4e3f,16200.0,York Rd,24.0
38,5,0,2,0.0,1,3,2,4,1,a9d5cf145239b73ace281fd7b87eae354cca3879,2741.0,Fairstone Ave,18.0
39,0,0,2,0.0,1,3,2,5,0,a3c6ff371024eec7aa3bcc53f28dce98edf8f8ba,6324.0,Windsor Gate Ln,13.0
40,5,5,2,5.0,2,1,2,5,1,48eb6e7a3041c4b9b398166a5e517e98f65ae519,1200.0,Central Ave,28.0
41,0,5,1,5.0,2,1,2,5,1,2d4a94c05e5c70370030c054c524618720d6852a,301.0,N Poplar St,22.0
42,5,3,3,5.0,0,3,0,4,0,a128b67e5cbe6c202d8aa00af1130f9f9f8d6737,11144.0,Ridge Oak Dr,23.0
43,0,0,2,5.0,1,3,2,5,1,d9838779d8eb533de47005a32692d33fd077417d,4500.0,The Plz,19.0
44,5,5,4,0.0,1,3,2,5,1,404d0e4e9d98a9e786c4af1fb9cdbefc4e7bd3fd,1050.0,W Sugar Creek Rd,26.0
45,5,5,3,5.0,2,1,2,4,1,8c8ce1eab51c6ae2ca42dae8d2dcb05896d32c17,1500.0,N Davidson St,28.0
46,5,5,3,2.5,1,1,2,5,1,be04d040c932ee3920a0a08d7a113e78209aa3aa,1275.0,E Bv,25.5
47,0,3,3,5.0,2,1,2,5,1,2ec47b2ef48fbc59b56a0e9d37aa1901e0ffbff7,408.0,S Sharon Amity Rd,22.0
48,5,5,2,5.0,2,1,2,4,1,5378efe2494f501dbdd09f96c3b4f4c4a2cc19d1,9731.0,Cayenne Dr,27.0
49,5,3,2,5.0,1,1,2,5,1,a40b8bbd07fae7017007829070ee91a0eda5da9c,1128.0,N Davidson St,25.0
50,5,5,3,0.0,2,1,2,4,1,ec0e85c2a7d4e87725da20ac3513b0fcfbb632d9,5236.0,Sardis Rd,23.0
51,5,0,2,0.0,0,0,0,4,0,dde48a180440ba007c98aed2a462bb5df683b583,1204.0,Kennon St,11.0
52,5,3,3,5.0,2,3,2,5,1,d4379d449f403073dd35acd3b74357887c78b525,505.0,S Tryon St,29.0
53,5,0,2,0.0,0,0,0,5,1,e3324ca5967f0838b4425072df5c7a1e6d290c6f,219.0,E 7th St,13.0
54,5,0,2,0.0,0,0,0,4,1,f737acab83fdab6e45a67111ed49fd8aeff510bb,10411.0,Willow Run Rd,12.0
55,5,3,3,5.0,0,1,0,4,1,bd4b1decafc864fe393628e1b67e8ce03041d5dc,3701.0,Country Club Dr,22.0
56,0,5,2,0.0,1,3,2,4,1,9dcdb71510f0e0d8dde16ec8197b9df52d0a0e03,2426.0,N Tryon St,18.0
57,0,0,2,0.0,1,1,2,4,1,9aa4b7e4a63c35a49bfd9206ddd7d94ca8e955c6,500.0,N Graham St,11.0
58,5,5,0,0.0,0,1,0,5,1,91bf6bf4fec7617716df7e65768314b705927da4,6002.0,The Plz,17.0
59,5,5,3,0.0,2,1,2,5,1,65a71e670c59847abdaa882259eb997189e2daee,3600.0,Eastover Ridge Dr,24.0
60,5,3,3,0.0,2,1,2,5,1,732c9153d888c852f4bf34ac190c53d796b3bf4f,4400.0,Central Ave,22.0
61,0,3,2,5.0,0,1,0,4,2,6f3c30b20a9225874cb687f650a2e72803275cb0,105.0,S Tryon St,17.0
62,0,3,1,0.0,1,1,4,5,0,fbee12fe8f8201c1eae8ee767e1fe2b6ef8faa61,426.0,Eastway Dr,15.0
63,0,3,3,5.0,2,1,2,5,3,d1e0824077e9db8a66cdf6c084d961b116ac6e1f,100.0,W 3rd St,24.0
64,0,0,3,0.0,0,0,0,5,1,87079eb30a35bdc096e358b304af0580cc05c283,8648.0,J W Clay Blvd,9.0
65,0,0,2,0.0,0,0,0,5,1,c2e4fdb13f3ae6e49f2a2b85f00ce827db4b3aa3,8538.0,Park Rd,8.0
66,0,5,3,0.0,1,3,2,5,1,3462e054df813c335458ddc07e45d8032b329e3e,1403.0,E Bv,20.0
67,5,3,3,0.0,2,1,3,5,1,ffdcd8ed5b8ca40c86327bab5603995cad1edabc,3109.0,Wilkinson Bv,23.0
68,0,3,2,5.0,4,3,4,5,0,51db4c425de14cc6acd8e08ec47acac589571a5e,8635.0,Hankins Rd,26.0
69,0,5,2,0.0,1,1,2,5,1,9c7758b31b9dd59b510e45cf19987711775e453d,103.0,E 4th St,17.0
70,5,3,3,5.0,1,1,2,5,1,8bab44f5738a68fb8a5ce2cbd45d383de7f1bd82,12749.0,Sam Neely Rd,26.0
