,ambulancer,bikedir,bikeinjury,bikepos,crashgrp,crashloc,crashtype,development,drvrinjury,recordid,geocodio_AddressNumber,geocodio_Street
0,5,3.3039771526735473,0,0.0,0.9871032700525614,3.0,1.9993238445896713,0.0,0.0,4cd2c336a6246cac16c11551d71ec8c34b8bbccf,800.0,E Sugar Creek Rd
1,5,0.0,0,5.0,1.0,0.8818671780873069,2.0,0.0,0.0,71a2579640ff6730ec345d68c8413189539e47f1,2629.0,Phillips Ave
2,5,3.3039771526735473,0,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,89f52db785c49090277dbe870fff478502da4545,9111.0,S Bv
3,5,3.0,3,5.0,0.7865274962392436,0.0,1.8566901907690336,0.0,0.0,3824572032819f21582df65f1004e00f92ac0286,2601.0,Eastway Dr
4,5,3.0,0,0.0,2.0,3.0,2.0,5.0,0.0,70ac74cd4614d91b4c7f4aa2654d74da8505c8c2,2617.0,Dion Ave
5,5,0.0,5,5.0,0.5812293449738022,3.0,1.940254031921809,5.0,0.0,c581be1223c6eeff862b5482dd4d4b6b33c5172e,2656.0,Shenandoah Ave
6,5,3.0,3,2.5,2.0,3.0,2.0,5.0,0.0,8ad2460d5412d8d36755ace23f84078e99806a24,1514.0,E Bv
7,5,3.3039771526735473,0,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,a07a2a008ee58088b8640307259a54cbf32ba76e,5023.0,Central Ave
8,5,0.0,3,0.0,0.0,0.0,1.6294373023648059,5.0,0.0,63060e9170293bc1568266b4b448bc4ca259ba29,5329.0,Ballantyne Commons Py
9,0,3.0,0,5.0,1.5471031605519379,0.0,1.5690630677617585,0.0,0.0,fd8e7ca1d15835678572396ea0ad47d41e0c1bdc,718.0,W Bv
10,0,3.0,0,5.0,0.0,3.0,0.9874375635243792,5.0,0.0,b2326160f49be27ea5ec12dcf04ebac8b5c75d97,1301.0,East Blvd
11,0,3.0,3,5.0,4.0,3.0,4.0,5.0,0.0,c1498e422cc4a348ccf60ea8186849e8cd0ca52f,751.0,W Trade St
12,5,0.0,3,0.0,1.0,0.8818671780873069,2.0,0.0,0.0,adb318dd548bbb98fbf1e41700d37f26f44a67c5,6726.0,Heatherwood Ln
13,5,0.0,3,5.0,0.9238238946244692,3.0,3.7055145607167823,0.0,0.0,e5d30dba3af8509788da72e65a5e15a11c56226d,6517.0,Park Rd
14,0,0.0,1,5.0,1.0,3.0,2.0,0.0,0.0,7720f1bd7512d34dba7a9381feab7362305fd830,10415.0,Plaza Rd Ext
15,5,3.0,3,5.0,1.0,0.0,2.0,0.0,0.0,bad508d3e834ce2b63d7514045b960dcedf3a217,3700.0,Camp Stewart Rd
16,5,0.0,4,5.0,0.0,0.0,0.0,0.0,0.0,b74781656d506af0b0966de7c980bfc4bfc5f9bc,13106.0,Brown-grier Rd
17,5,3.3039771526735473,0,0.0,0.7865274962392436,0.0,1.743870248261988,0.0,0.0,8e6d0325e042d36471600d004530c6734cec4510,304.0,Beatties Ford Rd
18,5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23524c0225cb989467a0f25d9dc1d19d63687edb,1128.0,Oaklawn Ave
19,5,3.0,3,0.0,2.0,0.0,2.0,5.0,0.0,e357dc1f29c4e8c28ae5546e9dec994d002eef74,,I 485
20,0,3.0,1,0.0,1.5471031605519379,0.0,1.5690630677617585,5.0,0.0,5ab52f0d866ddff4b39f16ede93239e373e16cbf,3101.0,Shenandoah Ave
21,5,3.3039771526735473,0,5.0,0.0,3.0,0,0.0,0.0,f78cc7f6060de8d5906fa815e2056ebb09b4b0ef,10400.0,Telscombe Ct
22,5,3.3039771526735473,0,0.0,1.6826109754383793,0.0,2.599223782593324,5.0,0.0,a07b37437822cc044ed2cbd4b053f97cf4e4a914,5618.0,Old Concord Rd
23,0,3.3039771526735473,0,0.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,0a16b49f931f43c6a273155c08408979b22de5c9,457.0,Eastway Dr
24,5,0.0,5,0.0,0.5812293449738022,3.0,1.8511335893428382,5.0,2.0,bc0d8395779acfa5337ff8816198a331ed94209a,6409.0,Old Pineville Rd
25,0,3.0,0,5.0,1.0,3.0,2.0,0.0,0.0,3d2e224ef7fc3d37032a21f9e1598157635f0efb,6200.0,Wilson Grove Rd
26,5,3.3039771526735473,3,0.0,1.5471031605519379,0.0,1.5690630677617585,0.0,0.0,85218d0799c15578a637c3d353a6bfcef1a57754,4902.0,The Plz
27,5,3.0,3,0.0,1.0,3.0,2.0,0.0,0.0,e2349090f8d21a85dd9b574a4a1e8d2aa3f10179,1660.0,West Blvd
28,5,3.0,3,5.0,0.9871032700525614,3.0,1.9993238445896713,5.0,0.0,4a37b887dd64c6aec713e961c98a8b48d088637a,7704.0,Colony Rd
29,0,3.3039771526735473,3,0.0,0.0,3.0,0.0,0.0,0.0,8d78ef2e17051457a1499b6ff759bf3672ad0401,10716.0,Plaza Rd Ext
30,5,3.0,0,5.0,4.0,3.0,1.0,0.0,0.0,9de8a381e0f06d1b2b74f953c63e4c2128d9c751,3521.0,Shamrock Dr
31,0,3.3039771526735473,0,5.0,0.5812293449738022,3.0,1.8511335893428382,5.0,0.0,daef6187d43d47f746ffbf29404c53795f1f2447,3059.0,Freedom Dr
32,5,3.0,3,5.0,1.5471031605519379,0.0,1.9052921977613009,0.0,0.0,9674d9d4000f1dc473e86a64c69001846ff43ab0,1701.0,Queens Rd W
