,business_id,stars,gc_Number,gc_Street,review_count
0,jaKf1HVjEEsSMoFvpQdMNQ,3.5,2523.0,S Bv,103
1,tNxGH0dYx_JinTxnwwjZUA,4.0,2161.0,Hawkins St,196
2,NFm869_w6cvVaWaNpAzjeA,4.0,1500.0,Central Ave,888
3,xUgt16DZ-gq67E2C9VbYgQ,3.5,5230.0,S Bv,101
4,6zi7dAlnk7vgvlGbUMoKkA,3.5,1513.0,Montford Dr,194
5,E0vZWNBWe-LwdECQFIjnug,3.5,9005.0,J M Keynes Dr,265
6,ewSh93zoRx0DIWRKU-fFwQ,4.0,511.0,Providence Rd,112
7,Yc5_nA9NqqxOp8WCugF-Ng,4.0,1405.0,Archdale Dr,159
8,wkZ6P5fDw0G_iFRU-hzBhQ,4.0,4422.0,Colwick Rd,149
9,vDZlLRiqIjcMe_h3COKHlg,4.0,510.0,S College St,103
10,ynvp3qvt3xc321dLKFxpgA,3.0,222.0,E 3rd St,107
11,#NAME?,4.0,227.0,Southside Dr,112
12,EvWGuX0eqKcZvLRgtIFHZg,4.0,617.0,S Sharon Amity Rd,292
13,ahGptHMIRIBXR9wzqZqZwA,2.5,5501.0,Josh Birmingham Pkwy,120
14,5CtxJzh1dVC6AkWPzGvW2g,4.0,1700.0,Montford Dr,154
15,n-AQFKbW6MnpamdtA6ECpQ,3.0,8008.0,Providence Rd,215
16,nGT61YSLYSet9UJHpwAXcg,4.0,911.0,E Morehead St,173
17,g4rkl-BorzlT1hIz_-vsew,3.0,2100.0,S Bv,102
18,ME6D5nLlfG0xZCtICOYDuw,4.0,4720.0,Piedmont Row Dr,341
19,sS2IKdaUne_8QwiAl6iyfg,4.0,8200.0,Providence Rd,111
20,WOj8nPos3R9IIf0Pyttd8g,4.0,1911.0,Central Ave,137
21,Z4y3LZlCjv4xnZ8xOpYf_Q,4.0,7832.0,Rea Rd,217
22,Oy2WnPyiOlPFvPKMIuOC8w,2.5,10215.0,Park Rd,224
23,vs99Jj_kVyuRtDl7rxXH2Q,4.0,200.0,E Bland St,145
24,cwCLcQns_SSExsBCzWNQDA,3.5,1537.0,Camden Rd,265
25,dyJmIqBIpr1JaqrWn7lYCA,4.0,1707.0,Central Ave,114
26,d8lmIZIqmBC9oPM8y1dc7Q,4.0,2200.0,Rexford Rd,576
